batch,barcode,treatment_1,reagent_1,concentration_1,treatment_2,reagent_2,concentration_2,replicate,culture,condition,WNT,WNT_Conc,EGF,EGF_Conc,WNT_EGF_Ratio,EGF_WNT_Ratio,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase 8_D387,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B1,35,WNT-100,WNT,100,EGF-25,EGF,25,2,WNT-100_EGF-25,WNT-100_EGF-25_2,WNT-100,100,EGF-25,25,4.0,0.25,0.6082534273378144,-0.5142377619989598,0.18595562637032015,0.08333181418213342,0.16821276863153448,0.23522026745192207,-0.14982151525996612,-0.040924373665875244,0.10406620127943156,0.07767257840717881,0.09364492986042637,0.23320935270420973,0.14919397324164463,0.2993809626491424,0.11541261133213293,0.11643831031702788,0.13265486206993368,0.08732899146831524,0.2785345857771274,0.13614144895865182,0.1388569095760912,0.21593113829488486,0.13127330342908414,0.12014686635137015,0.20295593641558166,0.1119983171815635,-0.05615817111065641,0.14959326123706362,0.058158707595016006,0.2667805121890166,0.04944542215779078,0.18318797048610883,0.02578959401447936,0.09792483791407225,0.5119728853712975,0.06478610100650144,0.2668358183966298,-0.07634565083773075,-0.07556800074362943,-0.3166700166564833,0.16317988339088196,0.013906252620350845
B1,36,WNT-100,WNT,100,EGF-25,EGF,25,3,WNT-100_EGF-25,WNT-100_EGF-25_3,WNT-100,100,EGF-25,25,4.0,0.25,0.45211072305935357,-0.4384992093987032,-0.2018624472023994,0.06970412313618529,-0.23010977000879018,0.13987712118773632,-0.1870433287805503,-0.1038148340974995,0.030106635631651647,0.0699454204103385,-0.12262667814605827,0.08503736315509126,0.07769766091404755,0.10656924191691904,0.04903280772222232,0.0764824825614002,0.07311657454774995,0.08966631401231219,0.1265667717747643,0.08062494430144106,0.12090841459426516,0.1671302551705941,0.05990871235398456,0.08420538861424036,0.1114356135653252,-0.1298298449548614,-0.04643878464343264,0.11249379489193415,-0.11374299206938135,0.13507983590456038,-0.10349276271198915,0.08670425551049085,-0.07186475088448499,-0.11486086205349312,0.39475210199863764,0.02162303108887459,0.309486987451646,-0.08915478641398236,-0.08781065542839221,0.1325833886431189,-0.11128312709838536,0.055968467217461695
B1,37,WNT-100,WNT,100,EGF-10,EGF,10,1,WNT-100_EGF-10,WNT-100_EGF-10_1,WNT-100,100,EGF-10,10,10.0,0.1,0.372430331952009,-0.3292578232816964,-0.5391455720908347,-0.09887760670405535,0.17750919177890007,-0.2124062354220056,0.12177030840210766,-0.10385905893017154,-0.08867024118792365,-0.1883489239924898,-0.30758117994117523,-0.10122495970804024,-0.20054310376566292,-0.1839418781354422,-0.14739011461217724,-0.12791333836659372,-0.21894095795260315,-0.2490394675847158,-0.15236246196932113,-0.1322112378670781,-0.2711575832163105,-0.16418420720737012,-0.4611673644692452,-0.384255440590875,-0.43676915404756,-0.17711751997258218,-0.13371389901911326,-0.30862307021012025,-0.19859827674960379,-0.09827924587765277,-0.14710400623095074,-0.15009471002410663,-0.06783546960276239,-0.3165925418998704,0.4710025206575575,-0.11358266599612642,-0.31607077804326883,-0.10036346719151179,-0.0992660181210336,-0.5812486093041406,-0.5435089399982992,0.03284013147613169
B1,38,WNT-100,WNT,100,EGF-10,EGF,10,2,WNT-100_EGF-10,WNT-100_EGF-10_2,WNT-100,100,EGF-10,10,10.0,0.1,0.37524119203882084,-0.42595517305171304,-0.2838630488120445,0.05236962129424563,-0.1353247130423053,-0.299668448811444,-0.2033860440947231,-0.09412483547347462,0.0474619005167683,-0.20028102107508047,-0.3389672413562236,-0.09412374229811195,-0.20792983335582502,-0.10500666971080891,-0.10351891612366088,-0.19240824751296096,-0.2564632016469817,-0.25073666529348027,-0.12278170439605714,-0.10885498073664931,-0.26117110261557164,-0.26709392682665944,-0.296308782288612,-0.29109844897371256,-0.2707525611844359,-0.14304389596917,-0.10112434725662948,-0.3300980494255757,-0.21351894455587594,0.08905969819493699,-0.19210208848404906,-0.14237953073011053,-0.116566500657346,-0.2514230244970152,0.5267244144565375,-0.13150003989097137,-0.3400892849680045,-0.14143573676257826,-0.1351188608597341,-0.626626932836783,-0.38760136288750663,0.031119892764174945
B1,39,WNT-100,WNT,100,EGF-10,EGF,10,3,WNT-100_EGF-10,WNT-100_EGF-10_3,WNT-100,100,EGF-10,10,10.0,0.1,0.3424198172400333,-0.2583626823498395,-0.16565100398611227,-0.08838663397809197,-0.09803396863861151,-0.2693974640165119,-0.12527419726165057,-0.08176791775451123,0.0372562267315251,-0.10207154225304106,-0.3394906612788287,-0.19278653402153234,-0.20201189777557688,-0.18301447307473143,-0.14575890025247581,-0.20466079091725842,-0.15269025314857188,-0.21362534804580632,-0.18334397589791246,-0.09363202038323175,-0.25629795205325834,-0.27315352734581533,-0.2183040339331117,-0.29848024053042954,-0.23665577090362977,0.07252197324923151,0.02577224724681599,-0.2745182088215621,-0.1318102962568064,0.12908428587072926,-0.10667103760144714,-0.15961369651424578,-0.08875409987906621,-0.18417646701931012,0.7099162879862074,-0.10644706262370524,-0.3239262024644975,-0.02857541792133838,0.03397555066935378,-0.08587501329470801,-0.35555064933055575,0.03495332450231391
B1,40,WNT-50,WNT,50,EGF-0,EGF,0,1,WNT-50_EGF-0,WNT-50_EGF-0_1,WNT-50,50,EGF-0,0,-,0.0,0.1487553562408344,-0.2284477024250046,-0.3992320190293671,-0.14898915377878286,-0.13498839152083822,-0.4589137059397212,-0.07944503182664187,-0.12211881001416887,-0.18612989219931222,-0.21362499808852756,-0.3870600348121928,-0.2708474891044038,-0.35426313990180563,-0.3103360636966115,-0.23049225096703319,-0.2521980468565064,-0.26639385722521686,-0.32526303539320905,-0.3319788126319588,-0.2779089979383496,-0.44345156609391156,-0.33989833500652694,-0.41735095814825157,-0.40465649252614383,-0.4865535766824701,-0.217436835187252,-0.09061630951562175,-0.41321884919776664,-0.2347155569372268,-0.08658291678691964,-0.23067256620935805,-0.26053456704762307,-0.1011592917095813,-0.20325091706709209,0.496194951943473,-0.18244929492699247,-0.41108474646997784,-0.0945788667567955,-0.08954996495047973,-0.2828610272579744,-0.4454650758063051,0.0688639918345145
B1,41,WNT-50,WNT,50,EGF-0,EGF,0,2,WNT-50_EGF-0,WNT-50_EGF-0_2,WNT-50,50,EGF-0,0,-,0.0,-0.08890204380096596,-0.35092216168795926,-0.7364327602514996,0.02764359470742936,-0.2819126085002769,-0.2892874186066745,0.13031884605787014,-0.1141286256750356,-0.18300307039832012,-0.23839967690736913,-0.4176776647450217,-0.23895447234476247,-0.3130901356822814,-0.32740466173385324,-0.1755486759625119,-0.16329872454366087,-0.4649145910071542,-0.3580691083886886,-0.3243661858864272,-0.20753092955058694,-0.39675597294215503,-0.17777487183504886,-0.5979965483657714,-0.5179938021046029,-0.6025997239914826,-0.3071925671961615,-0.17078257927863474,-0.40097858800144914,-0.2931021602511921,-0.17417618351690528,-0.2656849588807537,-0.3294832826670124,-0.08805832241273276,-0.5339531878473411,0.1908319314239147,-0.20187709479914315,-0.17037331350702312,-0.12083378596555505,-0.11294299224287958,-0.44412333989262953,-0.4688210452545638,0.06938048101335653
B1,42,WNT-50,WNT,50,EGF-0,EGF,0,3,WNT-50_EGF-0,WNT-50_EGF-0_3,WNT-50,50,EGF-0,0,-,0.0,0.2813333941731955,-0.206823810079274,-0.11383456554504856,0.09592380129843055,-0.1980789295374371,-0.23259715852781548,-0.10215701441040767,-0.08592314178711241,0.058275263105745316,0.11263738221573272,-0.1678174589025417,-0.07112819480948927,-0.16586596630526237,-0.12682631523840493,-0.11571750262969636,-0.21739995695483197,0.1284417452562799,-0.17249673936667692,-0.12110293151294006,-0.19256100639233442,-0.20012209825920407,-0.24657787914920948,-0.1863369217430382,-0.1554817240646912,-0.19418054568325188,-0.08309567381170996,0.07702583363034715,-0.1636580965031532,-0.10957643665919446,0.05454972407220418,-0.11232223900423606,-0.11839670258757343,0.08229453624970534,-0.21750265921802653,0.6920036983202998,-0.09552770338116501,0.31859068926719525,0.09477080641279695,0.09113450571364998,-0.23675046411421058,-0.20851149515237105,0.0540773189593016
B1,43,WNT-20,WNT,20,EGF-0,EGF,0,1,WNT-20_EGF-0,WNT-20_EGF-0_1,WNT-20,20,EGF-0,0,-,0.0,-0.07501762431686365,-0.21556657710787278,-0.4154887649732921,-0.10085075580888607,-0.24136555882962962,-0.20126518488446127,0.04144418901670418,-0.10948188962616288,-0.11634270671241086,-0.10718183600154671,-0.249068199774522,-0.16476104514313458,-0.19553047704570486,-0.2312462266952811,-0.14453371537697668,-0.1236840779351628,-0.09405160731225204,-0.23548987452945208,-0.1847256953369104,-0.13365555913609106,-0.265196174739178,-0.1257330150782612,-0.4037616800580367,-0.2563097100046625,-0.37216616566378347,-0.2237341323043251,-0.09265265530981083,-0.2322066383337355,-0.1973325279365269,-0.10322435514556486,-0.15758193192883838,-0.19265432276445132,-0.0754289970169737,-0.2962044762948909,-0.06225553115217734,-0.14693896787082222,-0.26066208133172264,-0.20764179515603748,-0.19882065064499066,-0.11383600918050277,-0.4303715402500865,0.040846222714591866
B1,44,WNT-20,WNT,20,EGF-0,EGF,0,2,WNT-20_EGF-0,WNT-20_EGF-0_2,WNT-20,20,EGF-0,0,-,0.0,0.26950098365656994,0.05525445328742434,0.12779965517846745,0.06342496988710142,-0.18881167205983057,0.1681155170630545,0.14532286415393283,0.07116192358195565,0.08546053766852722,0.08864988886986776,0.09170953810086924,0.14777288257797636,0.11243357072470808,0.1614318088335584,0.06234226291926933,0.10258132310140569,0.17281734658163833,0.09854730798630329,0.1982475590916502,0.10785306094311414,0.11640093674888413,0.1486570893307765,-0.09292291414207232,0.13730089431284637,0.16207649425734894,0.08584656456214917,0.08700785695239725,0.1477761012758719,0.08623361361085555,0.10323087297694705,0.0835139554554097,0.12122890430981435,0.09271431127808993,0.1132739145094426,0.6248650772884201,0.048936075358026174,0.2580442327930023,0.05725469920090587,0.0523781205117239,0.08302959902387458,0.11779938318051757,0.02551694414846681
B1,45,WNT-20,WNT,20,EGF-0,EGF,0,3,WNT-20_EGF-0,WNT-20_EGF-0_3,WNT-20,20,EGF-0,0,-,0.0,0.23629355937638125,0.07785768394878098,-0.12069755749783057,-0.06252098757803352,-0.20583819504532136,-0.09652824934270166,-0.10305845373492495,-0.07727529526373636,-0.03328973707309999,0.08663729368176767,-0.10629992930585364,0.08859174238280143,-0.03687198003901119,0.08272714594250291,-0.06089131458814308,-0.13217180367860024,0.06716775699339363,0.08766125263702318,-0.07030924487394892,0.10193980144151434,0.05696467689654452,0.14528954232941332,0.07145453613718294,-0.12078847349464343,0.09538788085282861,0.0693964189439207,0.06074622646693501,0.09043766269855243,-0.09659061011409481,0.05009997657271403,-0.0812692775055241,0.06805131300161772,0.0683499482113819,0.0824065406385728,0.5298541980373521,-0.09228158775707226,-0.27907199638360686,-0.07638546380350891,-0.0728106840146934,-0.06952645423624379,-0.16329279090799134,0.0454252414933512
B1,46,WNT-10,WNT,10,EGF-0,EGF,0,1,WNT-10_EGF-0,WNT-10_EGF-0_1,WNT-10,10,EGF-0,0,-,0.0,0.33753556793871686,0.09028496728753489,0.10958478544294481,0.2005459795824579,-0.1782583430906008,0.15447187807777477,-0.09075173351087334,0.07366847169612467,0.062412174754297445,0.09682425666200138,0.10453695184355385,0.14505685204114424,0.10916062776956019,0.0901860716885753,0.0859166607334905,0.08577468624650464,0.13413855084551363,0.06476050150547054,0.1206431221052839,0.0984265627776806,0.09129849930089266,0.14240923994098215,0.0466353294161445,0.09955227685647243,0.15101369586676205,0.12585283854884216,0.10998145772568002,0.13864876604937984,0.0747375779567366,0.09700661334078663,0.07288265097155872,0.10993412825792193,0.08345775143218635,0.10560914905470051,0.4481397200367265,0.05111580028357767,0.2066193205064856,0.10470970743360691,0.10459055371156159,0.23807613305663528,0.1324877264839091,0.04329869280750775
B1,47,WNT-10,WNT,10,EGF-0,EGF,0,2,WNT-10_EGF-0,WNT-10_EGF-0_2,WNT-10,10,EGF-0,0,-,0.0,0.41272787520753024,-0.12126046207673646,0.34610703901743456,0.1088405597970864,0.41125427027458406,0.31143729219046434,0.12760142589922613,0.1076184051695362,0.14823474373156212,0.1852300695490812,0.284544078295075,0.3079862425993515,0.2295044681004231,0.30972293233687154,0.1802524980682333,0.11053903609851466,0.42615752673226165,0.26849373670201526,0.4691107194649059,0.2045761657577993,0.31031956982422676,0.19032201956111894,0.1117909731408181,0.2919144936420199,0.30624895204539204,0.25966926866988116,0.17608764876955846,0.24973391195996458,0.20902065800315045,0.22306234052646426,0.19177089591359792,0.27699220143074216,0.18800486430884075,0.20034952711792095,0.4081498472004441,0.15815226131183846,0.18785855490055214,0.09950177151823514,0.0957406007513567,0.1065164248287099,0.15261976736649208,0.0236802898507791
B1,48,WNT-10,WNT,10,EGF-0,EGF,0,3,WNT-10_EGF-0,WNT-10_EGF-0_3,WNT-10,10,EGF-0,0,-,0.0,0.09032929311751743,0.06322779770158532,0.06979497282821166,0.036266880377896896,0.08413214099249329,-0.09953289332756826,-0.08331890331883646,-0.06429332181694628,0.033955200695905276,0.07930327788677377,0.07513015642316759,0.11213897225996212,0.05653837830322091,0.09366039197381305,0.03892370195666921,0.06282010992934521,0.06485360062277906,0.05001500416415214,0.08893413608450955,0.09245939250124434,0.07643833460832315,0.09616518318126194,-0.11008983707564093,0.08578550876372039,0.10078779482400502,0.05691948567565018,0.06951955819367514,0.11259049719872646,-0.07162807904426974,0.045689949053105056,0.047284271011380205,0.061069854418575834,-0.062305384309342265,0.04399900546969701,0.2898709705714756,0.03526786298044448,0.21919743050113705,-0.05798317279080463,-0.05484600367414261,-0.0698254679968873,0.0673667142009255,0.03781299922700811
B1,49,EGF-50,EGF,50,WNT-0,WNT,0,1,EGF-50_WNT-0,EGF-50_WNT-0_1,WNT-0,0,EGF-50,50,0.0,-,0.34281775685440025,0.06408883815391064,0.29018994687080196,0.174527182709144,1.2491510998588353,0.9699158196644029,0.20484028088269454,0.1986850792936175,0.3047879145020758,0.40768410981342706,0.6734343687679516,0.903263974920928,0.9691515410829884,1.1253965163724766,0.6303224853689142,0.5338317933915732,0.42925042398418545,0.5909496560200054,1.0371456672394705,0.7121638780749006,0.8448548869953255,0.6786584150265976,1.0328676589276338,0.6331446310165655,1.128611533047093,0.31316776020915144,0.22444684286818606,0.6672679921751572,0.23606130459615837,0.25846240030425793,0.3294052856763857,0.7137713461472625,0.26633605304760266,0.6278071782090534,-0.5210211494242771,0.5187094513314519,0.2848333365558493,0.13758426737803325,0.13653901868811727,0.39691317754268224,0.9752602073155419,0.143241839157845
B1,50,EGF-50,EGF,50,WNT-0,WNT,0,2,EGF-50_WNT-0,EGF-50_WNT-0_2,WNT-0,0,EGF-50,50,0.0,-,0.13194812875903106,0.10419544863493192,-0.18053051485856958,0.3798715018110266,0.2642533592367593,0.5975965791848024,0.29442150735212175,0.09700749101097964,0.33047375655228595,0.277872775819058,0.24272290939904712,0.42457770174817094,0.7564388940688758,0.6133479941212107,0.4010317449820955,0.4864366895099367,0.13228103340220787,0.22021605502154412,0.6363960216169546,0.42691061015003984,0.4916801924246364,0.5337756301733501,0.2954494395617818,0.25328921941415405,0.5582945924370895,0.1342051128538487,0.12831495805629672,0.2922917303474276,0.07167970407953417,0.1820452942950704,0.14021668544027982,0.30163656940129224,0.25870888511237455,0.1765306656043742,-0.8923433161883224,0.28100171367543025,0.589325690466751,0.11160943426014791,0.1086315606532021,0.21552199611189393,0.38979432952878695,0.07807875672663156
