p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.211598680163581e-55,-0.5039943134957181,0.593,0.78,8.194072872569361e-51,cocultWTMacFib,Sgpl1
4.5432146213038744e-55,-0.5310212913176809,0.295,0.552,1.1591557784794706e-50,cocultWTMacFib,Pik3ap1
6.0894093430991014e-55,-0.45702026693090403,0.14,0.388,1.5536518997983047e-50,cocultWTMacFib,Mapre2
6.1222035764783745e-55,0.6766287600682811,0.337,0.163,1.5620190205026924e-50,cocultWTMacFib,Bcl2a1b
1.5270204726337503e-54,0.3888661275360348,0.925,0.929,3.8960400338777507e-50,cocultWTMacFib,Atp6v0b
1.8303462394799988e-54,-0.4424959950079795,0.162,0.414,4.669945395409268e-50,cocultWTMacFib,Gabarapl1
1.8461669182745948e-54,-0.4943119653277064,0.364,0.619,4.710310275285801e-50,cocultWTMacFib,9530068E07Rik
2.1337176934101044e-54,-0.4469597335190201,0.718,0.858,5.44396732296654e-50,cocultWTMacFib,Csde1
2.3987359108546146e-54,-0.615060497448944,0.434,0.674,6.120134802954464e-50,cocultWTMacFib,Hspa9
2.4458168142616984e-54,-0.4771108587504931,0.301,0.572,6.240257019907298e-50,cocultWTMacFib,Slamf7
4.2008862325556285e-54,-0.4998319570975296,0.814,0.915,1.071814113374243e-49,cocultWTMacFib,Irf2bp2
5.23536701945575e-54,-0.5691545674783228,0.248,0.508,1.3357515413439403e-49,cocultWTMacFib,Mylip
9.08349055623776e-54,-0.4491151419696533,0.869,0.947,2.317561780518502e-49,cocultWTMacFib,mt-Nd1
9.346262065899767e-54,-0.38484424982509946,0.961,0.988,2.3846053034936667e-49,cocultWTMacFib,Npc2
1.4394904764721724e-53,-0.5546554335534242,0.693,0.83,3.672716001671101e-49,cocultWTMacFib,Actr2
1.7437932777933211e-53,0.3476626573865964,0.976,0.973,4.449114168961879e-49,cocultWTMacFib,Rpl22
1.9449405309367434e-53,-0.5808505715607766,0.378,0.625,4.962321270632007e-49,cocultWTMacFib,Abcg1
2.3097150511058674e-53,-0.5038194683174014,0.388,0.639,5.89300698139151e-49,cocultWTMacFib,Lasp1
3.0205495207173803e-53,-0.48920860637197405,0.265,0.522,7.706630047158324e-49,cocultWTMacFib,Pik3r1
5.756149661637326e-53,0.5191365535571579,0.641,0.486,1.4686240246701472e-48,cocultWTMacFib,Eif4ebp1
7.839783241431714e-53,-0.5603563012646845,0.102,0.327,2.0002422962188874e-48,cocultWTMacFib,Tmcc3
1.1405650417212218e-52,-0.5176310386213734,0.306,0.558,2.9100376474475253e-48,cocultWTMacFib,Ddx60
1.1742729608871057e-52,-0.506029630972519,0.556,0.78,2.9960400324073614e-48,cocultWTMacFib,Arpc4
1.390934554431314e-52,-0.5397640726098767,0.418,0.667,3.548830422176055e-48,cocultWTMacFib,Ehd4
1.6124779937359262e-52,-0.4642723947221894,0.794,0.907,4.114076353217842e-48,cocultWTMacFib,Iqgap1
1.775693995027163e-52,-0.6889304344378276,0.123,0.348,4.5305056589123036e-48,cocultWTMacFib,Cp
1.793236020731287e-52,-0.681305959488807,0.156,0.392,4.575262383293806e-48,cocultWTMacFib,Ifit2
1.9555467221805742e-52,-0.49928393910956403,0.155,0.397,4.989381906971517e-48,cocultWTMacFib,Nfxl1
2.3114968037064588e-52,-0.4488845769982365,0.223,0.481,5.897552944976659e-48,cocultWTMacFib,Slc8b1
