p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.8308731769798512e-254,0.5094426537471755,1,1,7.632883347090773e-250,monoFib,mt-Cytb
1.1817173264637556e-252,0.5633038090559053,0.849,0.517,3.1862644273442243e-248,monoFib,Cenpb
4.3085300088418006e-251,-1.9319043132946525,0.301,0.704,1.1617089462840146e-246,monoFib,Fos
2.273703778762811e-248,1.2129803921450861,0.998,0.996,6.130587498678167e-244,monoFib,Ptn
1.830256398625277e-244,0.7110409987187378,0.968,0.88,4.934920327613334e-240,monoFib,Hexa
3.9095614681836395e-241,1.23032905692373,0.869,0.548,1.0541350586663547e-236,monoFib,Ifit3
4.949651129333825e-240,0.6846094208478635,0.914,0.75,1.3345744340022791e-235,monoFib,Plpp1
5.673242287194843e-239,0.7125150270438081,0.937,0.805,1.5296763178963455e-234,monoFib,Fuca1
1.6395366308491598e-238,0.7490831797140587,0.94,0.744,4.4206826177585897e-234,monoFib,Rtp4
1.0506308714126378e-236,-0.6825044142601925,0.775,0.931,2.8328160185898955e-232,monoFib,Pkig
9.334882626335436e-235,0.5346676722069486,1,0.999,2.516964402538824e-230,monoFib,mt-Nd4
9.684322603503412e-232,0.6303845379417783,0.818,0.513,2.611183903582625e-227,monoFib,Ggh
1.577081215473622e-229,0.5444200827183283,0.633,0.262,4.2522840812815274e-225,monoFib,Ramp2
3.066795143539178e-229,0.5385819928672129,0.673,0.325,8.268999745524686e-225,monoFib,Arhgap24
4.61310018877908e-222,0.45970545807480523,0.998,0.992,1.2438302039005033e-217,monoFib,Mrfap1
1.7575704318411764e-221,0.42029338457281556,0.227,0.039,4.7389371553733634e-217,monoFib,Mest
5.388934055481109e-219,0.40346082217545887,0.551,0.212,1.4530182893793714e-214,monoFib,Adamts2
1.5525381919814783e-218,0.26103095822734557,0.285,0.062,4.18610872703966e-214,monoFib,Adgrl3
1.1658849096822446e-214,-0.9441240159006241,0.878,0.967,3.143575481976236e-210,monoFib,Phlda1
2.2983779733192027e-214,-0.7745209401376377,0.501,0.815,6.197116529460567e-210,monoFib,Vegfa
3.449130568088785e-213,0.5541640637505114,0.99,0.952,9.29989075073779e-209,monoFib,Rex1bd
4.2723827992666923e-213,0.2615376437731449,0.287,0.063,1.1519625741662783e-208,monoFib,Edil3
1.2382983766972731e-212,0.6316481102344581,0.889,0.683,3.3388239130888575e-208,monoFib,Mbd2
1.6099290663601212e-212,-0.6991013783139857,0.999,1,4.340851741626795e-208,monoFib,Rpl38
1.015382013008311e-210,0.7230152468078956,0.999,0.993,2.737774521674309e-206,monoFib,Selenow
4.477574008238831e-210,-1.5153410655584447,0.062,0.5,1.207288279841436e-205,monoFib,Il33
8.169077318168277e-209,-2.8504665357658934,0.464,0.801,2.2026283172977126e-204,monoFib,Spp1
5.845185469723101e-207,0.5992500765407067,0.998,0.993,1.5760373582014398e-202,monoFib,Cd81
1.1688347269223415e-206,0.6882612431493396,1,1,3.151529074200709e-202,monoFib,S100a6
7.902085139456308e-205,0.711568166651177,0.762,0.442,2.1306392161516042e-200,monoFib,Ctsk
8.210874535480968e-205,0.7299613131326494,0.917,0.746,2.2138981010017335e-200,monoFib,Ifi204
1.7408619312451033e-202,-1.8266996202128538,0.582,0.877,4.693886025216172e-198,monoFib,Clu
5.4999785724866475e-202,1.0568666348524924,0.96,0.797,1.482959222499575e-197,monoFib,S100a4
1.2645953124327262e-199,0.6791805768112823,0.764,0.441,3.40972834091236e-195,monoFib,Gpnmb
2.7706080585495917e-198,0.5540858536354609,0.487,0.179,7.470390508267264e-194,monoFib,Fam180a
1.0306061821955006e-197,0.5047140061524633,0.995,0.975,2.7788234490537285e-193,monoFib,Ppp1r14b
1.5968038945671864e-195,-0.9819668904268773,0.5,0.765,4.305462340921505e-191,monoFib,Bnip3
5.127163778021846e-195,-0.943274012307111,0.995,0.998,1.3824371694680304e-190,monoFib,Serpine2
7.207948752155626e-195,0.39395437180171977,0.549,0.229,1.9434792220437216e-190,monoFib,Fbln5
8.339394208760658e-195,0.4733950639873141,0.829,0.56,2.248550860508136e-190,monoFib,Rragc
9.982754421492836e-195,-0.8807062171202747,0.543,0.802,2.6916500746671133e-190,monoFib,P4ha2
7.198062266737902e-194,0.6236619779402663,0.707,0.404,1.9408135289805404e-189,monoFib,Tmem158
8.81354286950426e-194,0.48826295267053244,0.999,0.996,2.3763955639044337e-189,monoFib,Atpif1
1.243485144576156e-193,-0.6412124908967227,1,1,3.3528089953206896e-189,monoFib,Fau
3.4207012299774384e-193,-1.9082691801579772,0.613,0.929,9.223236726388167e-189,monoFib,Saa3
8.513409479561783e-192,0.5533372770006616,0.774,0.437,2.2954705979742437e-187,monoFib,Khdrbs3
2.251607895753006e-191,0.522945628706907,1,1,6.07101036931883e-187,monoFib,Ftl1
1.992134287986277e-189,0.6900812755467685,0.954,0.853,5.3713916806973987e-185,monoFib,Pmp22
2.7327153073027165e-189,0.7962472348871872,0.996,0.978,7.368220283080315e-185,monoFib,Col3a1
3.3944991070747377e-189,0.44439872562125154,0.621,0.288,9.152587942405616e-185,monoFib,Prss23
4.2033086234363314e-189,0.5382954209842319,0.953,0.788,1.133338104137138e-184,monoFib,Pik3r1
1.7931568105530936e-188,0.5398505550246084,0.989,0.932,4.834888708294306e-184,monoFib,Cpq
1.3253163264123681e-186,0.4988468237524437,0.976,0.927,3.573450410905668e-182,monoFib,Atraid
4.0546466725032045e-186,0.4306471296990255,0.508,0.203,1.093254382307039e-181,monoFib,Phactr1
8.90960747778852e-186,0.7127294790165402,0.999,0.98,2.4022974642361188e-181,monoFib,Bst2
2.988616276416532e-184,-0.6424270771879228,0.964,0.985,8.058206066101895e-180,monoFib,Rpl27a
3.9424560395984327e-184,-1.2067757172263494,0.935,0.978,1.0630044219569255e-179,monoFib,Ier3
4.468283016540698e-184,0.571814370419415,0.422,0.153,1.2047831497498684e-179,monoFib,Cd55
6.991679693732994e-184,0.5540080020018225,0.971,0.882,1.885166595821227e-179,monoFib,Dtnbp1
9.764883441014345e-183,-1.0002609231971056,0.761,0.912,2.632905522200698e-178,monoFib,Hspb1
2.127378381397793e-181,0.4753383879337263,0.2,0.036,5.73605032976287e-177,monoFib,Angptl7
8.935526089360847e-181,0.5796335385453215,0.753,0.51,2.4092858994743652e-176,monoFib,Tusc1
8.962454288163523e-181,-0.5004963180298951,0,0.397,2.416546549717531e-176,monoFib,Gpx2
7.083793502103936e-179,0.5245672076358943,0.948,0.777,1.9100032419722842e-174,monoFib,Ghr
7.964373350321246e-179,0.4749062730761667,0.718,0.418,2.1474339864471175e-174,monoFib,Fez1
1.1150108427183548e-178,0.5428770964347498,0.947,0.845,3.0064037352215e-174,monoFib,Il11ra1
1.6919697982671272e-177,0.5561341066251074,0.852,0.553,4.5620581670676555e-173,monoFib,Vegfd
3.3160345620217968e-177,0.48997020517231116,0.876,0.697,8.941023989579371e-173,monoFib,Sap30l
3.6057413707915706e-177,0.48739993385347624,0.999,0.988,9.722160458065312e-173,monoFib,Smdt1
5.513206214660876e-177,-0.46574548577935726,0.999,1,1.4865257916590118e-172,monoFib,Rps16
5.5664990849859646e-176,-0.6852517742057911,1,1,1.5008951482847656e-171,monoFib,Rpl18
1.3309997671197622e-174,0.5448948902175755,0.676,0.373,3.588774672085015e-170,monoFib,Akap12
8.303615140324848e-173,0.2599180568320413,0.405,0.133,2.238903750285789e-168,monoFib,Nid2
9.036822344310638e-173,-0.7142341211506912,0.316,0.662,2.4365984086964774e-168,monoFib,Arl4c
1.0229216939497953e-172,0.900413221869035,0.822,0.549,2.7581037633968327e-168,monoFib,Ifit1
2.7768269250295823e-172,0.578024350171404,0.994,0.976,7.487158437957263e-168,monoFib,Serpinf1
7.372393794574322e-172,0.5263138563353249,0.971,0.896,1.9878185388310743e-167,monoFib,Rab9
