"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.55405641550072e-12,0.410790312081158,0.108,0.019,2.91851794831035e-08,"Fib_CD34-","Il1rl1"
1.89121608337622e-49,0.409414777488702,0.854,0.514,3.55170380458054e-45,"Fib_CD34-","Apopt1"
2.47218638056942e-62,0.409232719967884,0.996,0.993,4.64276602270936e-58,"Fib_CD34-","Psma2"
5.84114640795408e-38,0.4092199421954,0.899,0.635,1.09696729541378e-33,"Fib_CD34-","Pam"
8.06127122164126e-19,0.409075042590182,0.992,0.961,1.51390673542423e-14,"Fib_CD34-","Tpm1"
2.87881885475538e-74,0.408488093777207,0.458,0.043,5.40642180923061e-70,"Fib_CD34-","Ifitm6"
7.60714346237448e-38,0.407465774902218,0.932,0.728,1.42862154223393e-33,"Fib_CD34-","Glg1"
5.25074046844117e-45,0.407135325175705,1,1,9.86089059973252e-41,"Fib_CD34-","Pcolce"
1.38585331370818e-55,0.406863249613617,0.733,0.321,2.60263252314395e-51,"Fib_CD34-","Mycbp"
7.19866458410394e-63,0.405700856366074,0.678,0.221,1.35190920889472e-58,"Fib_CD34-","Sdf2l1"
2.93462669874937e-59,0.405581204543776,0.698,0.24,5.51122894025132e-55,"Fib_CD34-","Cib2"
1.64301731626744e-40,0.405301305592859,0.915,0.678,3.08558651995025e-36,"Fib_CD34-","Mapk3"
2.55666628415157e-101,0.405244602835296,0.51,0.014,4.80141928163665e-97,"Fib_CD34-","C630043F03Rik"
5.29832669183135e-42,0.404999137955099,0.994,0.91,9.95025752725928e-38,"Fib_CD34-","Dynlt3"
7.68106977177053e-42,0.404682797238826,0.995,0.958,1.44250490313851e-37,"Fib_CD34-","Csnk1a1"
9.10903381294493e-41,0.403715193403853,0.972,0.844,1.71067655007106e-36,"Fib_CD34-","Prelid1"
1.27802116530218e-87,0.403617761721828,0.438,0.005,2.4001237484375e-83,"Fib_CD34-","Rorb"
1.27464551784073e-42,0.403293735468709,0.946,0.739,2.39378428250489e-38,"Fib_CD34-","Zcchc17"
8.23043119866275e-64,0.403245021769444,0.65,0.196,1.54567497910887e-59,"Fib_CD34-","Gmpr"
1.08118628213522e-55,0.401057701795488,0.675,0.253,2.03046783784995e-51,"Fib_CD34-","Slc66a2"
8.23129359550333e-34,0.400890670423063,0.964,0.821,1.54583693723552e-29,"Fib_CD34-","Ctsa"
2.0696677565948e-42,0.400280508088098,0.849,0.504,3.88683604688504e-38,"Fib_CD34-","Csrp1"
6.08308414102105e-38,0.400103399812388,0.985,0.952,1.14240320168375e-33,"Fib_CD34-","Anp32b"
2.4029226101304e-47,0.398850591054155,0.991,0.952,4.5126886618249e-43,"Fib_CD34-","Mocs2"
1.87464152298995e-40,0.398707923577765,0.996,0.97,3.52057678017513e-36,"Fib_CD34-","Kdelr2"
1.28973573893363e-46,0.398347861940391,0.995,0.939,2.42212371771737e-42,"Fib_CD34-","Gabarapl2"
2.72616054775137e-52,0.398268252150032,1,0.995,5.11972950867708e-48,"Fib_CD34-","Cfl1"
9.98170040424575e-42,0.398088333489908,0.933,0.717,1.87456333591735e-37,"Fib_CD34-","Slirp"
3.82526539369359e-48,0.39807390975207,0.747,0.36,7.18384840935655e-44,"Fib_CD34-","Snx7"
4.92124660679576e-48,0.398035611043179,0.908,0.582,9.24210112756244e-44,"Fib_CD34-","Papola"
1.32898663448217e-43,0.397791049216125,0.973,0.799,2.49583689955752e-39,"Fib_CD34-","Med10"
1.77193354670412e-42,0.397581905239861,0.895,0.629,3.32769120071034e-38,"Fib_CD34-","Slc35b1"
1.83496104678842e-37,0.39703266938711,0.995,0.946,3.44605684586865e-33,"Fib_CD34-","Bex3"
1.08683062452108e-35,0.397001664488893,0.995,0.935,2.0410679128506e-31,"Fib_CD34-","Gng12"
6.3104394395789e-39,0.39694256368126,0.849,0.515,1.18510052675292e-34,"Fib_CD34-","Nkx2-3"
4.8029741496867e-23,0.396779544644486,0.931,0.802,9.01998545311162e-19,"Fib_CD34-","Srm"
2.7344328562032e-39,0.39673747104897,0.831,0.496,5.13526490394961e-35,"Fib_CD34-","Dclk1"
2.42244764324071e-68,0.39669080299388,0.639,0.168,4.54935667400605e-64,"Fib_CD34-","Gm45338"
4.45685928509884e-39,0.396092858154782,0.87,0.55,8.36998173741562e-35,"Fib_CD34-","Akr1b8"
5.15576427062694e-64,0.396065481981777,0.549,0.128,9.6825253002374e-60,"Fib_CD34-","Eno3"
1.15854959333004e-42,0.395718429724497,0.931,0.69,2.17575613627382e-38,"Fib_CD34-","Ctnnbip1"
1.65286865449303e-71,0.39491547805047,0.558,0.107,3.10408733313791e-67,"Fib_CD34-","Gnb4"
1.66388044428775e-47,0.394436700444316,0.992,0.966,3.12476747437239e-43,"Fib_CD34-","Ywhab"
5.1813013124659e-46,0.394414982877724,0.858,0.489,9.73048386481097e-42,"Fib_CD34-","Pole3"
7.69441073663794e-29,0.39397632336984,0.953,0.815,1.44501033634061e-24,"Fib_CD34-","Pnp"
7.12240196278128e-62,0.393639047436373,0.67,0.22,1.33758708861032e-57,"Fib_CD34-","Cd151"
2.50638720184618e-51,0.393502182577105,0.999,0.978,4.70699516506712e-47,"Fib_CD34-","Ube2i"
3.25122969225405e-44,0.393060076793121,0.955,0.793,6.10580936205311e-40,"Fib_CD34-","Erp44"
9.2450603147329e-43,0.392846144246855,0.856,0.51,1.73622232710684e-38,"Fib_CD34-","Yrdc"
4.69649111217521e-38,0.389378649079136,0.886,0.596,8.82001030866505e-34,"Fib_CD34-","Bola2"
2.44527832771526e-56,0.388213727407075,0.67,0.238,4.59223269944926e-52,"Fib_CD34-","Ctnnal1"
9.29911583707539e-28,0.388162712330844,1,1,1.74637395420276e-23,"Fib_CD34-","Ifitm2"
1.77061295792696e-25,0.387791870346264,0.917,0.735,3.32521113498682e-21,"Fib_CD34-","Ccdc80"
9.59792975106437e-43,0.387691485562262,0.968,0.812,1.80249120724989e-38,"Fib_CD34-","Dynll2"
1.02945499298154e-44,0.387526945609294,0.99,0.87,1.93331647681933e-40,"Fib_CD34-","Glo1"
1.80227800324211e-71,0.386976638537091,0.476,0.057,3.38467809008869e-67,"Fib_CD34-","Klra4"
2.48277465968841e-41,0.386501510609351,0.95,0.731,4.66265081089482e-37,"Fib_CD34-","Zfp771"
6.39847739862943e-52,0.386460771502232,0.999,0.995,1.20163405546261e-47,"Fib_CD34-","Arpc3"
9.63340233855791e-55,0.386283288394182,0.999,0.996,1.80915295918118e-50,"Fib_CD34-","Psmb2"
2.78018811631764e-39,0.384359399086149,0.9,0.62,5.22119328244454e-35,"Fib_CD34-","Luzp1"
9.58417981176547e-31,0.384232928465587,0.634,0.308,1.79990896864956e-26,"Fib_CD34-","Hmga2"
1.53763933916655e-44,0.384195533876006,0.614,0.245,2.88768667895478e-40,"Fib_CD34-","Cdk5rap2"
4.45540174539677e-46,0.383606089189458,0.782,0.378,8.36724447785513e-42,"Fib_CD34-","Acyp1"
9.70090153251863e-58,0.383571900917502,1,0.997,1.821829307807e-53,"Fib_CD34-","Tmed2"
1.61867453319941e-35,0.381744902283128,0.882,0.605,3.03987077334849e-31,"Fib_CD34-","Creld2"
1.07342134509897e-30,0.381574678868039,0.892,0.654,2.01588528609587e-26,"Fib_CD34-","1110012L19Rik"
4.05135597455511e-41,0.381424148894366,0.963,0.758,7.60844652021451e-37,"Fib_CD34-","Ube2j2"
1.23349803773e-40,0.380332252176578,0.931,0.692,2.31650931485694e-36,"Fib_CD34-","Eri3"
7.96318090922904e-42,0.380220294248883,0.977,0.874,1.49548537475321e-37,"Fib_CD34-","Ndufb6"
4.4508167985437e-41,0.380104479586166,0.756,0.378,8.35863394766508e-37,"Fib_CD34-","Fbln5"
9.63178256501868e-40,0.379989741879147,0.992,0.895,1.80884876571051e-35,"Fib_CD34-","Srp19"
1.27446124378336e-36,0.378815673490536,0.972,0.793,2.39343821582515e-32,"Fib_CD34-","Rbbp4"
6.14271288475864e-38,0.378448111718353,0.936,0.704,1.15360147975767e-33,"Fib_CD34-","Mtap"
2.75977100572859e-37,0.37700736401172,0.954,0.768,5.18284994875829e-33,"Fib_CD34-","Glrx3"
1.92645398078266e-36,0.376594872112974,0.937,0.724,3.61788057590984e-32,"Fib_CD34-","Mien1"
4.90636773450016e-58,0.376551111971573,0.719,0.269,9.2141586053913e-54,"Fib_CD34-","Pgpep1"
4.95862538938491e-38,0.376514653333801,0.946,0.739,9.31229848126486e-34,"Fib_CD34-","Mrps28"
2.53569612775176e-41,0.376329176184096,0.988,0.925,4.7620373279178e-37,"Fib_CD34-","Tm2d1"
5.41416391638802e-40,0.37558693040942,0.725,0.364,1.01677998349767e-35,"Fib_CD34-","Sphk1"
1.9826761180561e-36,0.375466427199837,0.917,0.685,3.72346574970935e-32,"Fib_CD34-","Eif2s1"
2.55503625408849e-50,0.375376117175815,0.999,0.993,4.79835808517818e-46,"Fib_CD34-","Gng5"
4.45603701377318e-33,0.374756918797715,0.923,0.709,8.36843751186604e-29,"Fib_CD34-","Ccdc50"
1.21085702970403e-32,0.374731271831617,0.946,0.762,2.27398950178417e-28,"Fib_CD34-","Mxd4"
1.81608547732046e-39,0.374312588440934,0.987,0.957,3.41060852640782e-35,"Fib_CD34-","0610012G03Rik"
3.87561403259993e-49,0.374252272626555,0.748,0.338,7.27840315322266e-45,"Fib_CD34-","Eef1akmt2"
1.1881049280635e-48,0.374131838919882,0.747,0.334,2.23126105490325e-44,"Fib_CD34-","Xrcc4"
1.18674420982173e-73,0.374086458256988,1,1,2.2287056260452e-69,"Fib_CD34-","Eif1"
5.74464063922133e-30,0.373934038770465,0.974,0.872,1.07884351204577e-25,"Fib_CD34-","Plpp1"
2.75171242110177e-48,0.373600236757524,0.78,0.372,5.16771592682912e-44,"Fib_CD34-","Golga5"
1.91788528326903e-41,0.372941073577944,0.746,0.374,3.60178856197923e-37,"Fib_CD34-","Adamts2"
1.23908091534267e-47,0.372684853367828,0.802,0.417,2.32699395901354e-43,"Fib_CD34-","Ppp2r5c"
4.19193040270619e-90,0.372659174717889,0.436,0,7.87244529628222e-86,"Fib_CD34-","Cntn3"
1.94695209739449e-34,0.371925768061902,0.97,0.879,3.65637603890686e-30,"Fib_CD34-","Coa3"
4.15704604767854e-30,0.371666351139605,0.976,0.878,7.80693247754029e-26,"Fib_CD34-","Wls"
3.0312261443541e-30,0.371610115038958,0.991,0.914,5.692642699097e-26,"Fib_CD34-","Zfand5"
3.61608643380689e-33,0.371487544945002,0.951,0.739,6.79101032268934e-29,"Fib_CD34-","Eif4e"
1.03289735662061e-42,0.371322432503411,0.85,0.488,1.93978123573351e-38,"Fib_CD34-","Smim12"
9.0457144129701e-41,0.370967702511217,0.807,0.447,1.69878516675578e-36,"Fib_CD34-","Acot9"
1.93126927687493e-25,0.370374183819094,0.87,0.663,3.62692370197112e-21,"Fib_CD34-","Tnfaip2"
1.4436312057651e-44,0.370171267428024,0.849,0.477,2.71113940442685e-40,"Fib_CD34-","Psmc1"
1.20058560560407e-54,0.369440873560648,0.734,0.3,2.25469976732444e-50,"Fib_CD34-","Sgcb"
6.52088185470527e-43,0.367011708310526,0.994,0.976,1.22462161231365e-38,"Fib_CD34-","Hsbp1"
4.36780793243597e-42,0.366580616614482,0.845,0.495,8.20274329711475e-38,"Fib_CD34-","Eapp"
8.71425782398435e-38,0.36642515554517,0.967,0.792,1.63653761934426e-33,"Fib_CD34-","Snx6"
