batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P,106Cd_RFP,110Cd_mCherry,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,140Ce_EQ_Beads,141Pr_pPDPK1_S241,142Nd_cCaspase_3_D175,143Nd_C-MYC_1,144Nd_PDPN,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,151Eu_pPKCa_T497,152Sm_pAKT_T308,153Eu_pCREB_S133,154Sm_pSMAD1_5_9,155Gd_pAKT_S473_3,156Gd_pNF-kB_p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38_MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase_8_D387,173Yb_Cyclin_B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA_1,193Ir_DNA_2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B1,1,AKP-Fib_Ctrl_Org_1,AKP-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AKP,1,1,1,-0.19142929620402005,-0.1437734486940395,0.8493991454678764,-0.2470128524422566,-1.8802781134958408,4.353618938792635,3.416521800194896,-0.1549807146535556,-0.4761326020503813,-0.4996240538470527,0.07916005154150173,0.0650786584844969,0.04620854724272338,0.1290747859378887,-0.33314757412820406,0.28335790798478055,0.6630818674251072,0.8419588819364918,0.9580989319720215,0.9815908875535464,0.46835818680366703,0.3450834942823542,0.08022146244686736,-0.6234899780213947,-0.1313718424122619,-0.4767136200024892,1.3174602360669097,0.1849236535013145,0.3481343717371308,2.068031074775979,0.9270187505711113,-0.4577322540296585,-0.45401333470514016,-0.2471052283989494,0.20196359087426125,0.33533404716574333,3.1034488981529518,0.20400608932352718,1.2096500763265834,0.08433728116546904,0.1605845765473882,-3.5096602903792045,0.8289455692146587,-0.49951202374476017,-1.02225600959314,-1.0071575763869867,-0.4658807401962946,1.3742213167018995,-0.1341023094751863
B1,1,AKP-Fib_ENR_Org_1,AKP-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AKP,1,1,1,-0.16927729142648312,0.12096104330252402,1.4374201465048677,0.5902149204607942,-1.7717504777251205,4.524117119956579,2.205073054138345,-0.16740308376389396,-0.4016053110032002,-0.19342326149651545,0.21895827922865585,0.1878633171986164,0.2958082885875756,0.4406653118241323,-0.15561531565940112,0.49164831336371373,1.196184326511811,0.9322606214659461,1.1058678266718176,1.0953701655941712,0.808569819150855,0.5474342556246508,0.27698834172137937,-0.4295460914551664,0.08817266051488667,0.5086066839017195,1.4530557360970862,0.34784149990343755,0.7125264992883341,2.443720736975389,1.22107190099366,0.5114942907515734,-0.23213099865119097,0.22352864981089754,0.9232740735673199,0.5697020875826834,3.722427969238151,0.5470932210004864,1.481683347426802,0.37999257908844636,1.0072665633585134,-3.249022592438529,0.8358535024165885,-0.23300928977503602,-0.980681287141536,-0.9663051406980523,-0.15221915514341527,1.5764403483998715,0.1535077226307748
B1,1,AKP-Fib_E_Org_1,AKP-Fib_E,co-culture,Org,E,0,1,0,0,AKP,1,1,1,-0.18619139344224933,0.13742784733610314,1.0596237441711045,0.35189591141506094,-1.6519603950410064,4.430791604812715,2.623455186881404,-0.1813916367470843,-0.44972500316324815,-0.5682544695935954,0.07576535410406278,0.0796725226297387,0.09072910455122994,0.15370443074606213,-0.438270410671905,0.2737506444987995,0.7572404728147382,0.8741489790593024,0.9493415549714621,0.9961856960745964,0.679211198111157,0.3660408744932387,0.13306931705280692,-0.6445754669543189,-0.1487130717580636,-0.49122537459101684,1.2811981374734853,0.19937564524319534,0.48296485782785037,2.2991499389517287,0.977643123724524,-0.4651857362670892,-0.45777250208180187,-0.14227755199019787,0.3647274513234777,0.3474738143847215,3.4956480578416524,0.2808208005554941,1.1539275239580533,0.05488754155955882,0.3540778380711846,-3.5388458114141574,0.6570198499056912,-0.4544315969180336,-1.0375754308228613,-1.0153252721417991,-0.3503702875406428,1.402500658498547,-0.10959509234045352
B1,1,AKP-Fib_N_Org_1,AKP-Fib_N,co-culture,Org,N,0,0,1,0,AKP,1,1,1,-0.2108680985114153,-0.16143276283071012,0.7268490398152976,-0.27893842070300384,-1.8038763057311207,4.261213031902077,3.2880288843146,-0.1771640491871808,-0.5584840842286779,-0.6873181608889598,0.024429867369753763,0.04182216558782412,-0.014219745646903375,-0.026952725862679768,-0.5554481593085306,0.1193396602835189,0.5539676594728858,0.8108747550589749,0.8705919276076842,0.9491006101927183,0.503420261927838,0.2743241603155125,0.05028632248635711,-0.7329889864610368,-0.19622388653182413,-0.5042741903784611,1.2531578436331139,-0.18524137547665187,0.26793669583339963,2.154007286459315,0.8797586029276238,-0.4910941016102017,-0.5874645244473045,-0.31689377210785663,-0.08574348456884893,0.18403630865370027,3.1103881598625422,0.10054647879179822,0.9960181186979733,-0.07980907976324889,-0.2047259822947649,-3.706497630258105,0.6660608721573136,-0.5844802506001789,-1.0521292509699678,-1.0345972355702502,-0.5940173629809636,1.3807660668814727,-0.1339464860362278
B1,1,AKP-Fib_R_Org_1,AKP-Fib_R,co-culture,Org,R,0,0,0,1,AKP,1,1,1,-0.20735025363805631,-0.16498285917491257,0.8503686971709749,-0.2188013386727209,-1.8582306073694534,4.234791616272985,3.000131166874294,-0.16771491505788672,-0.5575555440710169,-0.5900895055570154,0.06793342680042073,0.07748670392693896,0.0593306605711307,0.11833849784192331,-0.4835910986489167,0.19049306414079803,0.7082948760481423,0.8530636132398599,0.9194743146114078,1.0009011737283615,0.5767488238253566,0.34008215748601844,0.11788722318327152,-0.698654506890673,-0.16271329269755896,-0.5033443617163449,1.2774794164352459,0.19784643537227323,0.390697087016881,2.378637246236342,0.9769796071444486,-0.4859722666867535,-0.513763454381269,-0.1657180480613396,0.166968712641957,0.31376762846965506,3.5021047377309253,0.21171200541951876,1.1471711945572944,-0.02299979752057014,0.08768136033415182,-3.591980916228469,0.6916105372934911,-0.5067853783276924,-1.094364730852632,-1.0848645699708481,-0.4575911847052666,1.444624091085205,-0.1218308760442838
B1,1,AKP-Fib_WENR_Org_1,AKP-Fib_WENR,co-culture,Org,WENR,1,1,1,1,AKP,1,1,1,-0.1733318400600789,0.12523514398446767,1.2132630686845969,0.23896595352988229,-1.6007357153704092,4.4896663967124315,2.7992096562123345,-0.18093758907505794,-0.4516646617858711,-0.3816699760376062,0.13950666124997385,0.121994424075792,0.17730182113958343,0.26719701866677226,-0.22295289370678095,0.39025231313009395,0.8018349386977777,0.8799225832584818,1.0179787049891216,1.0447757006341754,0.6883343371918416,0.46230507400733845,0.18933423085109502,-0.45644429305931766,-0.07073404250510279,0.4933186663049387,1.4000346229516984,0.2323831908593001,0.5220044341078854,2.13444069985035,1.0625831488420678,0.47120372151565876,-0.3512039825905266,0.040029530730214424,0.5850907520496587,0.47135375461178614,3.1781150017335054,0.3806842950694664,1.2984252289560987,0.20332551791718964,0.6744616354707429,-3.2415350358744344,0.8132963486245013,-0.33711938570207645,-1.0225094572764448,-1.011313664820342,-0.255508852384474,1.5977814739660554,-0.1321944744437189
B1,1,AKP-Fib_WEN_Org_1,AKP-Fib_WEN,co-culture,Org,WEN,1,1,1,0,AKP,1,1,1,-0.1413020818153192,0.11617321085460672,1.4553478472274395,0.4956254389371707,-1.4159963393790964,4.41051267320182,2.007358803474385,-0.1746799656846103,-0.39088544207255643,-0.3052527671602142,0.1632481150835765,0.15412435630048005,0.2815315854464875,0.36943334451678334,-0.20969594343045375,0.4232254034372581,1.0022049289997965,0.8830417657619362,1.0299374705976867,1.0547278698158378,0.8084555001287359,0.4979850262207486,0.2539397819474547,-0.4093470107630467,-0.06671484299164668,0.4718375793059063,1.327983161612862,0.2576702278264949,0.6833295033984712,2.353944272800499,1.1462905496060987,0.46709977947853226,-0.2542728599975152,0.16874606095210987,0.7714113416432115,0.5023195360564215,3.635396222518637,0.47392164954558286,1.3166691222232312,0.3296278239116125,1.0145991135037364,-3.0998185074131697,0.696375747462732,-0.2900042755498812,-0.9977865834109356,-0.9747880333896428,-0.27052575804817974,1.6748435214511512,0.14110757111991024
B1,1,AKP-Fib_WER_Org_1,AKP-Fib_WER,co-culture,Org,WER,1,1,0,1,AKP,1,1,1,-0.16581293887371581,0.1254331460263151,1.475675599965334,0.4133034169321012,-1.538718698099193,4.364072091318685,2.0213245083496467,-0.17293857159724385,-0.4111378529323151,-0.29444505882576155,0.1696000914475489,0.178854892411363,0.2530614247945508,0.4054523268974367,-0.22860810498393458,0.4267462994556719,1.038294541084024,0.9165679129821976,1.064958398116653,1.1145195580934297,0.8780346430789738,0.5157759001698957,0.28023810246055797,-0.4349678499434293,0.06365016120938861,0.49485598279167864,1.3770466092962148,0.29693943302772624,0.7058352599427251,2.4581789044425095,1.1797721586228311,0.49231140310172417,-0.28325251208641883,0.21309642869254491,0.8132540129053942,0.5716436417550781,3.7141554765356926,0.5411190807194312,1.3646139688006618,0.3444225190119876,0.9784341369284966,-3.178406129681212,0.7403177473923885,-0.2568285828175908,-1.01746970797388,-1.0013141558548637,-0.17845206876730715,1.6092012158779796,0.1570382969687601
B1,1,AKP-Fib_WNR_Org_1,AKP-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AKP,1,1,1,-0.19562681840573612,-0.14258463516458592,1.101458310495254,-0.15136053773534824,-1.8639480314353019,4.310043621456035,2.717170322343054,-0.14900930923028963,-0.44404499716295615,-0.466078494277437,0.09953854035797535,0.08304013256300102,0.09928902144198119,0.19895751885713847,-0.33925110277181836,0.30027676898154254,0.842741776086993,0.860735649403138,0.9694572507679136,0.9897316888235562,0.6379898026116797,0.38185202711248606,0.12516123225665493,-0.6130688425431234,-0.09342339247238357,-0.48714460906117785,1.3403085044040028,0.21208730606642923,0.4896848538027168,2.34399292755684,1.0419748196847884,0.47374561160264467,-0.4083640738834111,-0.07893860002964535,0.4121917376569678,0.3574893092835426,3.4197829259444927,0.2504262324871229,1.2552348647082778,0.13858854713640675,0.41838615114537053,-3.518030512783274,0.7206928955826536,-0.4114002163550086,-1.0489325181392302,-1.0269543607179343,-0.3482201304954614,1.371922061823906,0.14906834148329856
B1,1,AKP-Fib_W_Org_1,AKP-Fib_W,co-culture,Org,W,1,0,0,0,AKP,1,1,1,-0.1926609509338349,-0.15165344578309636,0.9300052290279072,-0.17379907678220513,-1.704436448176068,4.227953133603429,2.8860855216258536,-0.1730445095229979,-0.502443318473993,-0.5846803045338524,0.06518170446335905,0.07075023625226706,0.07510989489683698,0.12113146051657767,-0.4632740973620075,0.1808929495338437,0.6758784010206728,0.8690545677484494,0.9417336512892718,1.022790854003842,0.649355873776586,0.36811809178754334,0.1115205421793384,-0.6480499856136795,-0.14244443814951294,-0.5069424929753926,1.321394052886052,0.19848245836451617,0.44764421846593394,2.317022693845691,0.993848597826648,-0.49126242271150355,-0.48073206637779825,-0.15492972813648576,0.22998770963928367,0.32693499337582144,3.3714752737903795,0.2511067683934508,1.11625326155602,0.033537176917129013,0.1066386752088717,-3.588901067676344,0.6637490311239553,-0.4659202022681378,-1.0297859366458157,-1.0151516459084502,-0.3249406007929537,1.4401702772961154,-0.1293207426082082
