batch,barcode,genotype,media,replicate,culture,condition,ligand,inhibitor,A,K,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,154Sm_pSMAD1_5_9,155Gd_pAKT_S473_3,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_pS6_S240_S244_2,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B1,3,K,Ctrl-Ctrl,3,K_Ctrl-Ctrl,B1_K_Ctrl-Ctrl_3,Ctrl,Ctrl,0,1,-0.35016962498984827,0.43236158605611374,-0.06593335591943203,-0.1435136703235813,-0.6430742760582919,-0.6091545132669641,-0.5166653456767648,-0.39863346836269314,-0.3303386674927517,-0.5348936306075781,-0.425967646980543,-0.34431617032035633,-0.19847709276907258,-0.48707380190875693,-0.36188472583715475,-0.37191678163552266,-0.3794123583144755,-0.518107319290125,-0.6560511534273625,-0.4979442706235412,-0.38107856801038137,-0.4493716929600078,-0.42607363492855255,-0.7223537886109016,-0.6151365257076263,-0.6243389357698028,-0.5246382697390819,-0.3799794651938129,-0.3877139444408966,-0.7084658013369795,-0.1625134010338335,0.1406416913375546,-0.5106227084133393,-0.5019313492792179,-0.4847118626458956,-0.6699372545784044,-1.009750856671373,-0.25101580443834176,-0.8509787475440878,-0.36164071091532707,-0.3585678312081889,-0.3273447755929979,-0.38110188092436936,-0.30974526384236534
B1,3,WT,Ctrl-Ctrl,3,WT_Ctrl-Ctrl,B1_WT_Ctrl-Ctrl_3,Ctrl,Ctrl,0,0,0.060631622674014236,-0.153141506982305,0.022113748623444077,-0.02082142598459217,0.21120045970497509,0.012482136271992956,-0.07332390699021131,-0.0416944705179141,-0.029913380777842218,-0.04892498357183441,-0.04042073784804178,-0.01439603547948646,-0.08602893890303182,-0.010790087724598255,0.015867174737844568,-0.059076304161578205,-0.024189439654072557,-0.02154823978366683,0.010667845476785696,0.013757913112819506,-0.010702163169985318,0.023592108070808415,-0.034635815021010874,-0.08072725323238433,0.030408383013654477,-0.02218931448271657,-0.04550705861145874,-0.03739247791710617,-0.04546172158403503,-0.055442370780687436,-0.022590408479679407,-0.033581778826639055,-0.027354140767269677,-0.028641417467079107,-0.014387273066692916,-0.08608278509699903,-0.04521804254376039,0.01707349567298655,-0.15021162601416663,-0.013586849190930306,-0.011996088631164381,0.024308612969076007,0.10035173591424092,-0.03989635101643561
B1,4,A,Ctrl-CA3,1,A_Ctrl-CA3,B1_A_Ctrl-CA3_1,Ctrl,CA3,1,0,0.5312079512180861,0.37521164215774466,-0.42894510526999247,3.907716522842718,-0.3737695326638483,-0.29496169388981797,0.6349537958233886,0.20812813513986128,-0.20507011397131622,0.18332096548977678,0.23109849545476305,-0.20735153690770436,-0.16144865837893135,-0.1403152282368487,-0.17917383651310875,-0.2618319554264338,0.14924699428491214,-0.07791515065830276,0.1943025551379453,0.1711999941713917,-0.27292795172562445,-0.182086311446103,-0.2415495624648177,-0.45566861593966634,-0.20077195080552393,-0.24928271187006182,-0.14233277699759705,0.4036206192018181,0.14712034853186426,0.24285812958179123,0.29492498555896246,0.13688115621243804,-0.13499531595987646,0.18028458392584915,-0.2345387395519881,-0.2713792049010348,-0.19677816459604122,0.3603547988317693,-0.34222766947984556,-0.12439180152757057,-0.13333631437949778,0.034568758486912925,-0.4481413933524603,-0.0702858532248867
B1,4,AK,Ctrl-CA3,1,AK_Ctrl-CA3,B1_AK_Ctrl-CA3_1,Ctrl,CA3,1,1,1.147901983315469,0.42348554108571546,-1.2003413086886692,4.306521613458156,-0.865371804699279,-0.5712920817501197,-0.42278432671992044,-0.20755264934600293,-0.4633845595834864,-0.26692820727232386,-0.4030878566172226,-0.33960432733810403,0.5226426195842797,0.32461332872545146,0.24737843934608672,-0.5809876531780261,-0.29919156085488285,-0.3146636298507956,-0.6039487150117933,-0.36927471515611365,-0.38937562088767674,-0.23772500262779628,-0.43047151542495526,-0.7894926543973011,-0.12791835594215237,-0.6424244075983758,-0.33148890273478765,-0.3448330177847694,-0.2567292961666818,-0.3706813848590633,-0.168224254007224,0.6769016895758544,-0.42572997297623205,0.18001481807307346,-0.4650082042536098,-0.562415835107493,-1.2598048802693973,0.09593490569629702,-0.8782524100458642,-0.6757995875312622,-0.6758187214502352,-0.4006627079333217,-0.6401774154307063,-0.2593725015481102
B1,4,K,Ctrl-CA3,1,K_Ctrl-CA3,B1_K_Ctrl-CA3_1,Ctrl,CA3,0,1,-0.3484282611340733,0.3973498205558672,-0.38848579609439043,-0.2527456797090519,-1.1863671130894937,-1.2757415797552432,-0.36433953927572377,-0.5376886635963828,-0.6484996424553108,-0.6768754339569099,-0.6040848510861521,-1.031259729610776,-0.6273588948529486,-1.3573789465177004,-1.002744744510817,-0.88351979466535,-0.5461911110787432,-0.697071009991356,-0.7297781807412118,-0.6698339534201883,-1.1413790306260696,-0.8808540677307317,-0.8237912426292624,-1.2521811422190892,-1.117208154153207,-1.0632862926148918,-1.0228715275344975,-0.33145514129975806,-0.493594018553022,-0.8508017674897818,-0.15977446642044466,-0.09954329098109076,-0.719313736852305,-0.7932077660971164,-0.9682931255611105,-0.848866978672194,-1.147121692409023,-0.404253423106915,-1.1111138524491329,-0.2696825853570423,-0.2680055014441065,-0.1604053297412709,-1.1516500937031047,-0.4359073357599589
B1,4,WT,Ctrl-CA3,1,WT_Ctrl-CA3,B1_WT_Ctrl-CA3_1,Ctrl,CA3,0,0,-0.031414383102182385,0.14777358079492664,-0.5477151348009739,-0.1563478529645638,-0.7475972786371838,-0.6857983311341723,0.24848465256363034,-0.22868908580172126,-0.5171169120819339,-0.30185948962653086,-0.24956033928642288,-0.739297650873446,-0.5122277146894895,-0.9803669014148227,-0.8027752140875754,-0.7529435175261612,-0.3122052745860389,-0.3626343483957365,-0.15929541294277522,-0.27807977920417803,-0.7190134907392559,-0.7101384476127526,-0.5497904438808047,-0.8224310716221616,-0.805855852543446,-0.7016004639909591,-0.7646850286613173,-0.08355504973360321,-0.2787453184310941,-0.30995015656800834,-0.0965345139910526,-0.235026376118624,-0.3379557815834059,-0.44989765456593356,-0.8050520733334589,-0.6738264972568468,-0.1928843892402758,-0.16112864708804947,-0.5680912146305533,0.03376009010045773,0.03532071964273534,0.2063930449796541,-1.0796935563682852,-0.2836000478438738
B1,5,A,Ctrl-CA3,2,A_Ctrl-CA3,B1_A_Ctrl-CA3_2,Ctrl,CA3,1,0,0.5600986352134563,0.21069669701555505,-0.5371919293006233,3.7951693549561654,-0.43965734789892175,-0.4678510453320917,0.36099273247199515,-0.14407718803355885,-0.3358253632035638,-0.23037670946422142,-0.21503489149666263,-0.33285834599958963,-0.2652526104830326,-0.23633283790128132,-0.3013314407772964,-0.46377926330120983,-0.1567418252018712,-0.20568752490155218,-0.10282125517710437,-0.19566809707512253,-0.3915223527291187,-0.2864046469317384,-0.36533808792456374,-0.586237763161183,-0.43375001157189386,-0.40829826743096614,-0.2658604520668618,0.17978482390900122,-0.0778403219859151,-0.2746640215966078,0.11073870926835008,-0.09691533971266007,-0.23137093327295793,-0.18601433583178048,-0.378965208906764,-0.5183043731819716,-0.36420826888534885,0.2741020684619485,-0.5606191883226904,-0.15505711408482079,-0.15685398599122613,0.1364340887912449,-0.4834510397445999,-0.20784949408226175
B1,5,AK,Ctrl-CA3,2,AK_Ctrl-CA3,B1_AK_Ctrl-CA3_2,Ctrl,CA3,1,1,0.9744849597667986,0.2626821933820067,-1.004170643414751,4.368906089024797,1.1606459583188438,-0.6300484426436694,-0.8120253316930198,-0.3387421725821629,-0.5291548461965067,-0.3926473932896627,-0.6642422477804094,-0.4166377077775191,0.3698420507690418,0.3363043069528181,0.3054265776190908,-0.5911952732571206,-0.4174475134270144,-0.40885796799433277,-0.7620394050071775,-0.5256329894049077,-0.4814967934589768,-0.30209996020625846,-0.5141216290438105,-0.879225596030011,-0.12171578021973371,-0.7323909706576341,-0.45840537459640546,-0.5302916068520047,-0.4066768241706873,-0.5661997653999442,-0.31048786693038566,0.6496235821499967,-0.5501720245526504,-0.25179211531767814,-0.5558274613076267,-0.8371915150843714,-1.3874594258321176,-0.1281644337918193,-1.0040169468694407,-0.7769158688556391,-0.7781360516009396,-0.13570409123352317,-0.7168535923255756,-0.3130192754479308
B1,5,K,Ctrl-CA3,2,K_Ctrl-CA3,B1_K_Ctrl-CA3_2,Ctrl,CA3,0,1,-0.3052470754783323,0.2940940859124303,-0.5351920311830117,-0.28933632852776087,-1.2473166002725273,-1.3992444046069106,-0.495586438144565,-0.6534140335404934,-0.7507882906296914,-0.8120526681558318,-0.747206776873643,-1.2002336023563966,-0.7502349601821391,-1.4970650632482376,-1.1126519643844095,-0.9863309765629675,-0.6476216253680688,-0.7723057499090614,-0.8439198974062739,-0.7818029916018626,-1.3110201065911753,-0.9795081400306381,-0.9394877460222455,-1.359292260142186,-1.0373802716525833,-1.138681591786092,-1.171333986421421,-0.4286190434096732,-0.5405876977696324,-0.9433382655140552,-0.2922981085102391,0.09629206700088136,-0.8221506576735284,-0.9138058093542275,-1.0894534640213496,-0.9866210020210272,-1.0404824789546723,-0.48265482332157883,-1.1791006116566993,-0.233976604324299,-0.23385239257192372,0.13810231024144196,-1.218930960154682,-0.49102969075457614
B1,5,WT,Ctrl-CA3,2,WT_Ctrl-CA3,B1_WT_Ctrl-CA3_2,Ctrl,CA3,0,0,-0.08310294317159445,0.03914925440899091,-0.6072431082108587,-0.20546704269499153,-0.8527222991668517,-0.7379987754063828,0.17203407135880425,-0.3072918860337306,-0.5972943367402185,-0.38205816221667943,-0.3347454054313722,-0.7519316406857729,-0.5406844082111536,-1.0233270731219892,-0.8217534895135505,-0.7756290058169132,-0.3887193227087297,-0.4322070329553007,-0.23813746940476843,-0.35269287006557354,-0.7775854939898245,-0.7457068771531996,-0.6038024129259278,-0.8439473735573728,-0.7674736044868227,-0.7553860869716756,-0.8213396731982092,-0.1582888519607769,-0.32633294610068725,-0.4052219631987646,-0.15737601136240387,-0.31423281183856183,-0.4172046157140191,-0.4972297418486482,-0.8191000460071326,-0.7566842147621018,-0.25210635943064785,-0.22309095580182947,-0.5805152899287239,-0.038835091820276266,-0.03630976954366458,0.32745135494534383,-1.1229508983143033,-0.3387363083603004
B1,6,A,Ctrl-CA3,3,A_Ctrl-CA3,B1_A_Ctrl-CA3_3,Ctrl,CA3,1,0,0.40108649252172474,0.1931792098090957,-0.3854897279966405,3.8130495143176724,-0.4960131625436685,-0.4176757402973986,0.3520853683092886,-0.1688120429987863,-0.31110365336725165,-0.24640465682242088,-0.2415861413932553,-0.31121676724719666,-0.26776929525192,-0.2265093430388977,-0.25070594157175247,-0.3928994731606168,-0.18013190313793953,-0.19002800895021965,-0.08416013438978054,-0.19236239534310248,-0.3722159438168097,-0.2791029129128651,-0.36419051706730715,-0.5354250976517508,-0.2942351698649719,-0.3697532510695993,-0.2486339533913964,0.20684578789517438,-0.10909270140444328,-0.2712033489154117,0.1565399162699454,-0.07448635508117618,-0.20786462562689784,-0.19074243013294298,-0.3661614174844197,-0.4986298111231955,-0.35039285721625557,0.2133072160240818,-0.526052381689693,-0.13092356293874635,-0.13310674676039289,0.25119395386611504,-0.4765125493548793,-0.1943276386922531
B1,6,AK,Ctrl-CA3,3,AK_Ctrl-CA3,B1_AK_Ctrl-CA3_3,Ctrl,CA3,1,1,1.1069037928429626,0.31560050046511423,-0.9961866618904685,4.106947241585699,-0.7133317578132984,-0.629606594523713,-0.6234263687917174,-0.2941292891746861,-0.5230791413478219,-0.36067471322451705,-0.6016482270456781,-0.3806355827413532,0.24781398396006937,-0.208249240791465,-0.21237165715088216,-0.6166356678242089,-0.3953286314793941,-0.4058620259462286,-0.6832247674500401,-0.4803386343246123,-0.4551740148314005,-0.308477113005795,-0.5156112216231468,-0.8629158943577147,-0.41592088677126643,-0.7543831105665016,-0.4480684283453107,-0.4549179748688818,-0.3975771192939268,-0.5032997799726697,-0.23949134542149844,0.5560441541014743,-0.5268989840056775,-0.25248823245243096,-0.5471388200850172,-0.7263038167001726,-1.330514880233111,-0.12467925590646106,-1.0024549899150814,-0.7372986586757715,-0.7379644647238196,-0.06788692952555431,-0.6797917318792023,-0.3056914247423482
B1,6,K,Ctrl-CA3,3,K_Ctrl-CA3,B1_K_Ctrl-CA3_3,Ctrl,CA3,0,1,-0.28682307701499,0.5354956973495806,-0.2535935424881895,-0.16485052203414488,-1.1693398735622849,-1.0265443863188488,-0.471104119860304,-0.5380721359421106,-0.5212939053467599,-0.6475081260822467,-0.5971082170877902,-0.8368561170829496,-0.4397858896067662,-1.1220937668994064,-0.8141508380800504,-0.640832940579914,-0.5337204993901067,-0.6712226145992609,-0.6981186254510032,-0.5951255005865077,-0.9448510824398865,-0.7907740894632637,-0.7483951044368381,-1.0420192980286005,-1.0537172115998386,-0.9187855020842485,-0.8875431909441784,-0.35560822327462066,-0.44861889895229384,-0.7783306837665599,-0.1869890431019316,0.07162873794112297,-0.6745736330060684,-0.7266427952960912,-0.8286190798770937,-0.8894513658369584,-1.1258566261881955,-0.4329882780794675,-0.9420849809647623,-0.2792263928499505,-0.2785355732386328,0.10354377116291429,-0.8518801707463025,-0.38902874403666793
B1,6,WT,Ctrl-CA3,3,WT_Ctrl-CA3,B1_WT_Ctrl-CA3_3,Ctrl,CA3,0,0,-0.17118341654565805,0.05648683075203041,-0.3887142745147073,-0.12114812922721195,-0.6565691651663509,-0.35723392989596625,0.06749165471227574,-0.15771260718731533,-0.29046632167384945,-0.17959350448234987,-0.16940906455999669,-0.3202202372731813,-0.15548462526243934,-0.4327427851601496,-0.3469447697023993,-0.3009033561241868,-0.1941436996266546,-0.2196283132020898,-0.20432172568928497,-0.22224350653881034,-0.37144582483245947,-0.42549787859506727,-0.25506907965773684,-0.3431273403140231,-0.3826763483484085,-0.38380879566413467,-0.33514510724795493,-0.10814740931370886,-0.1718150527151146,-0.21951659060876438,-0.12356525007401377,-0.1725967715864518,-0.217696394957879,-0.24416417114726036,-0.3881033043077806,-0.30343661655237025,-0.17611292587176838,-0.14975111245717443,-0.2306866344136348,0.025437762986650483,0.025461234482683323,0.22099359065101618,-0.6543470888272533,-0.13750790002166263
B1,7,A,Ctrl-CHIR99021,1,A_Ctrl-CHIR99021,B1_A_Ctrl-CHIR99021_1,Ctrl,CHIR99021,1,0,0.6280128200156069,-0.09093754770580938,-0.4069947397798282,4.84889332865621,1.3134187086791775,-0.4318467430868173,-0.11296721199563889,0.1271963746254336,0.18792829479321843,-0.1543440149138386,-0.1617532568894785,0.7262601423433757,0.3959407541032084,0.80363407374405,0.5800550375263982,-0.2934825205397891,0.15666547877390974,0.09831250823978248,-0.13944497728108515,0.21088806965841075,0.5416558467734304,0.4416073294208626,0.35107374942016933,-0.49613655787693745,0.9114070639836974,-0.2402121964183054,0.6397300028053637,0.19625401813614435,-0.05164464022362279,0.20088419726646042,0.09199297810998457,0.46325499791779634,-0.1203751789327602,0.4922575917982608,0.32157873749638366,-0.34346692005605345,-0.4448506936033535,0.32533270873836406,-0.3991418378141319,-0.2419503914282096,-0.24555649828315068,-0.21859956844514428,0.6006606162374798,-0.16435384708204615
