Gene_Symbol,GeneID,Control,Yap KO,YapTg Dox-,YapTg Dox+,Combined fold change,Fold_log2
Slc22a1,ENSMUSG00000023829,18.96727672,26.6982962,19.72126058,4.610677829,6.020720428,2.589936127
Adh6a,ENSMUSG00000053054,83.35465961,117.7904737,75.5716947,17.78044392,6.006159314,2.586442743
Rbp2,ENSMUSG00000032454,1402.395041,1664.143013,897.1788751,177.4192049,6.000655426,2.585120089
Hepacam2,ENSMUSG00000044156,16.08492502,19.94159349,15.99468602,3.313969901,5.983674733,2.581031754
Ndufa4l2,ENSMUSG00000040280,8.508790373,2.415081834,0.579551523,0.027678503,5.943106063,2.571217128
Pbld2,ENSMUSG00000020068,35.3951513,42.7063084,26.14039103,5.308915467,5.940931275,2.5706891
Cyp2c39,ENSMUSG00000025003,5.023064117,6.04373092,1.30628479,0.264712017,5.937458833,2.569845606
Slc6a20a,ENSMUSG00000036814,59.61819626,64.30728855,58.72426725,10.68884624,5.926088633,2.567080204
Hes2,ENSMUSG00000028940,0.632608348,1.242743828,0.759260828,0.251813523,5.92323061,2.566384256
Akr1c19,ENSMUSG00000071551,247.4850617,240.0936875,130.6085353,21.39532291,5.922219031,2.566137849
Bmp3,ENSMUSG00000029335,11.23874393,9.870227855,12.55764493,1.865630724,5.911421356,2.563505057
Duoxa2,ENSMUSG00000027225,2.460639006,1.586194643,2.907659501,0.317120538,5.910548053,2.56329191
Slc2a2,ENSMUSG00000027690,40.4566492,57.57775458,45.35058059,10.96841146,5.884423647,2.556901117
Gm52,ENSMUSG00000085957,3.632960587,3.644466774,3.493099487,0.596740876,5.872168058,2.553893258
Tcea3,ENSMUSG00000001604,6.675283286,9.683181613,9.792102536,2.419891986,5.869868168,2.553328102
Nav2,ENSMUSG00000052512,0.893438817,1.283432038,1.162740995,0.284687194,5.867094886,2.552646324
Retnlb,ENSMUSG00000022650,16.50496019,28.55734945,52.29072414,15.44579949,5.857572575,2.550302924
Mt1,ENSMUSG00000031765,1620.716977,2286.904217,826.1162926,199.144073,5.853486162,2.549296107
Fev,ENSMUSG00000055197,1.097229457,1.251163249,0.839543283,0.164325065,5.825803059,2.542456932
Gamt,ENSMUSG00000020150,3.114288747,3.712298276,2.327196366,0.478431743,5.798251256,2.535617851
Ccl25,ENSMUSG00000023235,130.2741607,162.252983,112.3165639,24.22097255,5.775460757,2.529936047
Fabp2,ENSMUSG00000023057,1053.791858,1517.076602,479.3425605,119.6950413,5.765307873,2.527397651
Faah,ENSMUSG00000034171,24.38326541,31.35947449,21.08721225,4.721385917,5.744160676,2.522096105
Pla2g4a,ENSMUSG00000056220,3.643653542,4.260532275,6.772587568,1.38097879,5.734484788,2.519663874
Fam117a,ENSMUSG00000038893,0.9685082,1.657612738,2.071920612,0.618448693,5.733888034,2.519513733
Sema4c,ENSMUSG00000026121,0.819006205,1.109966423,1.541834327,0.364704982,5.729525594,2.518415688
Ucn3,ENSMUSG00000044988,1.592635782,1.358838697,0.481835529,0.071911672,5.716771992,2.515200751
Cd177,ENSMUSG00000052212,0.887395018,1.448422903,0.886252241,0.254740206,5.678560379,2.505525226
Pcdh19,ENSMUSG00000051323,0.785134676,0.982865805,1.063870095,0.234939179,5.668696707,2.503017082
Pipox,ENSMUSG00000017453,4.274286443,4.974275155,3.640052838,0.74765576,5.665942801,2.502316038
Trpa1,ENSMUSG00000032769,1.734813798,1.790930127,0.683878954,0.124660394,5.663390632,2.501666043
Rasa4,ENSMUSG00000004952,1.20307072,1.13063121,2.088519836,0.347646649,5.645863438,2.497194233
Dpyd,ENSMUSG00000033308,13.26871158,17.81548971,10.84270939,2.592126878,5.616303559,2.489620915
Rap1gap,ENSMUSG00000041351,2.604269519,2.597773651,2.597255423,0.462469721,5.602046864,2.485954052
Galnt5,ENSMUSG00000026828,1.066905194,1.628317044,2.000037242,0.544885637,5.602035566,2.485951143
Adcy8,ENSMUSG00000022376,0.642337527,0.947906108,1.061436176,0.27986531,5.596890905,2.484625627
2410017I17Rik,ENSMUSG00000038311,0.774378626,1.319563287,1.175490683,0.358787268,5.582889535,2.481012011
Mogat2,ENSMUSG00000052396,100.7084184,129.9448908,71.43359417,16.55823083,5.566497297,2.476769801
Slc7a8,ENSMUSG00000022180,21.53457696,28.8866491,26.33822408,6.354594494,5.559803817,2.475033977
mt-Atp6,ENSMUSG00000064357,0.206361644,0.585490812,1.143784504,0.585272312,5.544690823,2.471107017
Gm11437,ENSMUSG00000051452,14.46155421,14.0880084,12.01650267,2.112412634,5.54158454,2.470298554
Gstm4,ENSMUSG00000027890,67.50818358,69.88335707,32.90630399,6.164182625,5.526128065,2.466268996
Ociad2,ENSMUSG00000029153,46.78341436,57.02715771,36.21612618,7.99047165,5.52483601,2.465931643
Sorcs2,ENSMUSG00000029093,1.398857322,1.588629815,2.179213797,0.448238942,5.521277102,2.465002009
Slc4a5,ENSMUSG00000068323,4.971320372,6.826215424,3.840578106,0.957588068,5.50713996,2.461303274
Sectm1b,ENSMUSG00000039364,8.833818662,8.31860291,7.549012992,1.295114994,5.48888024,2.456511862
Dbp,ENSMUSG00000059824,4.050145073,5.285167352,2.267040254,0.541352047,5.464716196,2.450146573
Ptpro,ENSMUSG00000030223,0.40518431,0.541111273,0.864200157,0.211407195,5.459194139,2.448688003
Hsd11b2,ENSMUSG00000031891,1.152060017,1.64081993,1.399216425,0.36724648,5.426415828,2.439999606
Card11,ENSMUSG00000036526,1.85405549,2.248146762,3.274353353,0.733426483,5.413409592,2.43653755
Hpn,ENSMUSG00000001249,0.465198639,0.902130006,0.991184838,0.355830771,5.401841552,2.433451323
