,batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P
115,B1,2,AKP_WNR_Org_2,AKP_WNR,monoculture,Org,WNR,1,0,1,1,AKP,1,1,1
116,B1,3,AKP_WNR_Org_3,AKP_WNR,monoculture,Org,WNR,1,0,1,1,AKP,1,1,1
117,B1,1,AKP_W_Org_1,AKP_W,monoculture,Org,W,1,0,0,0,AKP,1,1,1
118,B1,2,AKP_W_Org_2,AKP_W,monoculture,Org,W,1,0,0,0,AKP,1,1,1
119,B1,3,AKP_W_Org_3,AKP_W,monoculture,Org,W,1,0,0,0,AKP,1,1,1
120,B1,1,AK_Ctrl_Org_1,AK_Ctrl,monoculture,Org,Ctrl,0,0,0,0,AK,1,1,0
121,B1,2,AK_Ctrl_Org_2,AK_Ctrl,monoculture,Org,Ctrl,0,0,0,0,AK,1,1,0
122,B1,3,AK_Ctrl_Org_3,AK_Ctrl,monoculture,Org,Ctrl,0,0,0,0,AK,1,1,0
123,B1,1,AK_ENR_Org_1,AK_ENR,monoculture,Org,ENR,0,1,1,1,AK,1,1,0
124,B1,2,AK_ENR_Org_2,AK_ENR,monoculture,Org,ENR,0,1,1,1,AK,1,1,0
125,B1,3,AK_ENR_Org_3,AK_ENR,monoculture,Org,ENR,0,1,1,1,AK,1,1,0
126,B1,1,AK_E_Org_1,AK_E,monoculture,Org,E,0,1,0,0,AK,1,1,0
127,B1,2,AK_E_Org_2,AK_E,monoculture,Org,E,0,1,0,0,AK,1,1,0
128,B1,3,AK_E_Org_3,AK_E,monoculture,Org,E,0,1,0,0,AK,1,1,0
129,B1,1,AK_N_Org_1,AK_N,monoculture,Org,N,0,0,1,0,AK,1,1,0
130,B1,2,AK_N_Org_2,AK_N,monoculture,Org,N,0,0,1,0,AK,1,1,0
131,B1,3,AK_N_Org_3,AK_N,monoculture,Org,N,0,0,1,0,AK,1,1,0
132,B1,1,AK_R_Org_1,AK_R,monoculture,Org,R,0,0,0,1,AK,1,1,0
133,B1,2,AK_R_Org_2,AK_R,monoculture,Org,R,0,0,0,1,AK,1,1,0
134,B1,3,AK_R_Org_3,AK_R,monoculture,Org,R,0,0,0,1,AK,1,1,0
135,B1,1,AK_WENR_Org_1,AK_WENR,monoculture,Org,WENR,1,1,1,1,AK,1,1,0
136,B1,2,AK_WENR_Org_2,AK_WENR,monoculture,Org,WENR,1,1,1,1,AK,1,1,0
137,B1,3,AK_WENR_Org_3,AK_WENR,monoculture,Org,WENR,1,1,1,1,AK,1,1,0
138,B1,1,AK_WEN_Org_1,AK_WEN,monoculture,Org,WEN,1,1,1,0,AK,1,1,0
139,B1,2,AK_WEN_Org_2,AK_WEN,monoculture,Org,WEN,1,1,1,0,AK,1,1,0
140,B1,3,AK_WEN_Org_3,AK_WEN,monoculture,Org,WEN,1,1,1,0,AK,1,1,0
