ident,gene,coefD,pvalD,padjD,coefC,pvalC,padjC,mastfc,alpha,ref_alpha,mu,ref_mu,mean,ref_mean,log2fc,spec_h,spec_d
Microvascular,GIMAP7,3.676695941,1.2724E-135,4.0265E-133,0.584370847,1.72091E-12,1.18385E-10,3.267517937,0.832512315,0.130411687,3.423652759,3.26401615,3.159196371,0.325164664,2.834031707,FALSE,FALSE
Microvascular,JAM3,3.668204538,3.44502E-50,2.20978E-48,0.091777109,0.58216197,0.877340083,0.602645091,0.243842365,0.012749004,1.915162776,2.189279917,-0.120812436,-4.10410737,3.983294934,TRUE,FALSE
Microvascular,CIT,3.546913272,7.82503E-34,3.3462E-32,0.434822732,0.046443485,0.159050174,0.14591493,0.13546798,0.00876494,1.841812301,0.544868322,-1.042155057,-6.288786592,5.246631535,TRUE,FALSE
Microvascular,PPAP2B,3.545770238,1.6619E-126,4.4653E-124,0.525678513,1.48463E-09,6.36782E-08,2.252697793,0.738916256,0.070252324,3.138394589,2.471162876,2.701877562,-1.360135502,4.062013064,FALSE,FALSE
Microvascular,A2M,3.511358478,4.6186E-121,1.1958E-118,0.369795927,2.4673E-05,0.000417769,3.090309038,0.879310345,0.151394422,3.470502722,3.494033697,3.28494713,0.770420128,2.514527001,FALSE,FALSE
Microvascular,CTGF,3.496534345,2.3274E-118,5.8144E-116,0.577715648,0.00014366,0.001847979,2.441872763,0.642857143,0.086719788,3.947998853,3.764088933,3.310569111,0.236597817,3.073971295,FALSE,FALSE
Microvascular,ANKRD65,3.448756334,1.52931E-51,1.04198E-49,0.055698892,0.703618807,0.979899212,0.59914836,0.266009852,0.0124834,2.03504367,2.02175302,0.1245986,-4.301995487,4.426594087,TRUE,TRUE
Microvascular,IFITM2,3.441595882,1.82504E-92,3.13116E-90,1.061279338,1.1787E-49,5.59491E-47,3.482143074,0.9408867,0.358565737,4.05681911,3.29203022,3.968912039,1.81234067,2.15657137,FALSE,FALSE
Microvascular,RND1,3.439754113,3.87012E-82,5.40299E-80,0.865576674,1.84871E-08,6.5324E-07,0.958172256,0.443349754,0.029747676,2.597939329,2.107565,1.424457539,-2.963476623,4.387934162,FALSE,FALSE
Microvascular,SEMA3F,3.410846644,1.79511E-39,8.8146E-38,0.489134163,0.009169626,0.049079468,0.226999611,0.229064039,0.011819389,2.153321359,1.142457922,0.027148012,-5.26005463,5.287202642,TRUE,TRUE
Microvascular,NKX2-3,3.353416397,7.45424E-95,1.39669E-92,0.266860238,0.001512521,0.012025851,1.525416607,0.512315271,0.039043825,2.224094857,2.188451463,1.25919967,-2.490283513,3.749483183,FALSE,FALSE
Microvascular,CLIC2,3.339451672,7.17914E-83,1.02231E-80,0.448400744,9.86545E-06,0.000190358,1.164657161,0.463054187,0.032005312,2.247054353,1.973880507,1.136308501,-2.991626051,4.127934552,FALSE,FALSE
Microvascular,ICAM2,3.301913752,1.7321E-114,4.1108E-112,0.866568512,2.86062E-23,4.57699E-21,2.246218149,0.756157635,0.103851262,2.780116272,2.206485046,2.376875433,-1.060915017,3.43779045,FALSE,FALSE
