CD81+PDGFRAlow,ACKR4+fibroblast,CD81-PDGFRAlow,Telocyte,small intestine arteriole,small intestine capillary,small intestine vein,small intestine lymphatic,colon capillary arterial,colon capillary,colon vein,colon lymphatic
,,,,FBXO9,FAM117B,CMIP,TMOD2,BDP1,MAP1S,EGR1,GM21541
,,,,PEX16,FKBP5,CDC42EP4,PTGFRN,TMEM259,TIA1,NMT2,PXDC1
,,,,PPP1R7,ETS2,SETD1B,PBX1,USP12,CD274,PAM,WIPF3
,,,,GNAQ,TSC22D3,DDX6,MRC1,HGSNAT,CHML,MT-ND1,PCSK6
,,,,TMED1,TNFAIP3,ATP8B1,GJA1,PHF13,MID2,PPP2R5A,PTGFRN
,,,,RNFT1,ARID1A,PYCARD,GPRC5B,ACAD12,RRM1,MGST1,PRKCZ
,,,,MRPS31,HILPDA,AGR2,COL18A1,FZR1,NOL8,ITGA3,PTPN18
,,,,RIOK1,2700081O15RIK,AFG3L1,ZFHX3,ZC3HC1,ZFP263,ZFP36,GM14964
,,,,OGFOD2,TJAP1,UGCG,F2RL1,PHC3,ACBD5,FOSB,STT3B
,,,,OTUD4,TCF3,USO1,TPCN1,R3HCC1,ACHE,HID1,DAPK2
,,,,AW549877,ZFP622,CDA,APBA2,SYNJ2,ANKRD50,MYH9,PTPN14
,,,,E130309D02RIK,UCHL1,ANO6,LGALS3,TRAPPC9,CUL2,RASL11A,NQO1
,,,,FAM89B,H1F0,XPNPEP1,NDRG2,ZFP131,SPEF1,RET,MAT2A
,,,,ETFDH,HOXA5,UBN2,ITGA9,MAPK8IP3,2310040G24RIK,SOCS3,MAP3K1
,,,,GTF2IRD1,ZFP503,XNDC1,DOCK6,PPP2R3D,ACOX3,TAGLN,SEMA3D
,,,,ICMT,TBC1D2B,WIPF3,TGFB3,UPF1,PMM2,NFKBIZ,SLCO3A1
,,,,SLC44A2,ZFP715,AGTRAP,HMCN1,CCDC80,TMEM129,SOCS2,TMOD2
,,,,BORCS6,ADORA2A,ARAP3,EDARADD,INVS,RPS6KA1,DLL1,GYPC
,,,,2310061I04RIK,MOB3C,HS3ST1,CPED1,CPSF7,GPN1,SEMA6B,FAM102B
,,,,PPP1R16B,PLEKHG2,EZR,PALD1,SP2,DCUN1D3,CASP4,NUDT4
,,,,THEM6,TRIM30A,USP34,ITIH5,HSPA1B,FBXW7,HHEX,NTS
,,,,SYBU,EFR3B,INO80D,GLS,CNGB1,URI1,TRAF1,CD2
,,,,HGSNAT,ZFP608,MUC2,ZCCHC14,SENP3,DNAJC11,RAB27A,HMCN1
,,,,HBA-A1,PLEKHA1,SKI,AMOTL1,HIST4H4,SPPL3,KAZALD1,EPB41L2
,,,,KAZN,ANKRD10,SFT2D2,CFH,SOGA1,DLAT,FOXP1,RTKN
,,,,CRNKL1,ERICH1,ZFP521,FNDC1,FAM120B,R3HCC1L,SERPINB9,MARCKSL1
,,,,GULP1,CHST11,RAB27A,MAN1A,EMSY,OPA1,CHP2,WLS
,,,,AKT3,FHOD1,CDK16,DOCK9,ZFP442,TMEM138,H2-AB1,DLG1
,,,,DCP1B,ARMC5,ZDHHC18,CHCHD10,SCRN2,SEH1L,MARVELD1,GPX3
,,,,TCERG1,MAP6,SPACA6,PPP3CA,TPRKB,CIPC,ID2,OTUD1
,,,,LY6C2,DOT1L,RAI14,ANK2,NCAPD3,CARS,CSF1,OLFM1
,,,,LSM10,ZFC3H1,PLEKHA3,HJURP,TFIP11,PSME4,CYP26B1,FSCN1
,,,,KLHL2,TNFRSF10B,TMEM9,IL7,ZZEF1,MB21D2,ZFP704,PDLIM3
,,,,LCP1,MICAL1,FRG1,GBP2,AMN1,DNAJC21,TTC28,PSEN2
,,,,IRAK3,ITGB5,ALKBH1,GM4951,AHCYL2,DOT1L,ITGA2B,CCND1
,,,,HOXB2,G2E3,SNX10,MTSS1,AGPAT1,DAXX,CDA,IFT43
,,,,TRAPPC11,NRF1,IDS,DENND2A,CAR1,ALYREF2,MT-ND5,MPP7
