replicate,162Dy_LRIG1_1,174Yb_Clusterin_1,pro_vs_rev,pro_vs_rev_log2,genotype,culture,ligand,inhibitor
1,3.6092135755098247,2.609930257717634,1.8193241277844934,0.5876689909018057,A,A_EREG-PF573228,EREG,PF573228
2,3.470343557959278,2.5128765298814235,1.924001968490028,0.6035481256536374,A,A_EREG-PF573228,EREG,PF573228
3,3.303064469819646,2.38537099831388,1.9065838279553056,0.6029688904348695,A,A_EREG-PF573228,EREG,PF573228
1,3.7772207274390524,1.8049347991727012,3.2009599867599046,1.3179376398291052,A,A_EREG-SIS3,EREG,SIS3
2,3.530832244728979,1.6998475989183857,3.340276734748477,1.3270894933787587,A,A_EREG-SIS3,EREG,SIS3
3,3.5246377782608618,1.5616186615224878,3.7734711438504105,1.4841892663766414,A,A_EREG-SIS3,EREG,SIS3
1,3.254644061574761,2.4933266313779034,1.6063910453542176,0.4468451068906384,A,A_EREG-Trametinib,EREG,Trametinib
2,3.105366649929389,2.372700520355701,1.7297416143053044,0.4851930572753366,A,A_EREG-Trametinib,EREG,Trametinib
3,2.900469010420049,2.2509851584342186,1.7283022762941198,0.47386098848823305,A,A_EREG-Trametinib,EREG,Trametinib
1,2.0111599640396167,2.8834084150512314,0.8174495584307938,-0.6044266708016487,A,A_TGFb1-CA3,TGFb1,CA3
2,1.935561132840529,3.042433269309465,0.7460072379517645,-0.7397817107746859,A,A_TGFb1-CA3,TGFb1,CA3
3,1.8857773883170301,2.617463971686444,0.8284096223775682,-0.5657857889009208,A,A_TGFb1-CA3,TGFb1,CA3
1,2.2532728455360562,3.027044614265625,0.9258522532186718,-0.4509923012646618,A,A_TGFb1-CHIR99021,TGFb1,CHIR99021
2,2.2894925780568753,3.3019216746268247,0.7947747941448413,-0.6172435026318772,A,A_TGFb1-CHIR99021,TGFb1,CHIR99021
3,2.3053792643148667,3.638500259032943,0.7480340596543323,-0.733672151008713,A,A_TGFb1-CHIR99021,TGFb1,CHIR99021
1,2.7302424407642882,3.448181513429375,0.9208906415059216,-0.3627143724233435,A,A_TGFb1-Ctrl,TGFb1,Ctrl
2,2.5778498456923433,3.634814916732951,0.7908669898863484,-0.543798677334738,A,A_TGFb1-Ctrl,TGFb1,Ctrl
3,2.5449479963970982,3.7371680763630954,0.7858616717034931,-0.5870433076164158,A,A_TGFb1-Ctrl,TGFb1,Ctrl
1,2.3139678230919123,3.347936469209115,0.8272965159782555,-0.623737367506044,A,A_TGFb1-Dasatinib,TGFb1,Dasatinib
2,2.564487018510078,3.4611370893769693,0.9296309748046427,-0.49314059639814806,A,A_TGFb1-Dasatinib,TGFb1,Dasatinib
3,2.7179764259446166,3.5834091497388427,0.8878481984363237,-0.43164866411047204,A,A_TGFb1-Dasatinib,TGFb1,Dasatinib
1,2.2635845018520073,3.714120615615153,0.6402913427073481,-0.9047565576669794,A,A_TGFb1-GDC0941,TGFb1,GDC0941
2,2.3040096612220555,3.7603971140426244,0.6949896197302997,-0.8767406590788386,A,A_TGFb1-GDC0941,TGFb1,GDC0941
3,2.4500607810981823,3.724664122708753,0.704781368536559,-0.7676594103114135,A,A_TGFb1-GDC0941,TGFb1,GDC0941
1,2.102670182539031,3.3370295993033587,0.720956247160748,-0.8127246209302056,A,A_TGFb1-ICG001,TGFb1,ICG001
2,2.051378005509576,3.1520415583491457,0.7422314117804176,-0.7273762866715672,A,A_TGFb1-ICG001,TGFb1,ICG001
3,2.3316322432158736,3.4478939410258396,0.7539815399969537,-0.6572445246111711,A,A_TGFb1-ICG001,TGFb1,ICG001
