Supplementary Table 6. Gene signatures used throughout the study.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GSEA name,MUNOZ LGR5 SIGNATURE,MUSTATA FETAL SPHEROID UPREGULATED,Label Retaining Cells,Revival Stem Cells,Enteroendocrine,Paneth Cells,Mucosecreeting,Crypt proliferation,Mex3a signature Barriga et al.,Secretory Progenitors,Goblet,Lgr5 Signature,ki67 (HI vs low) signature,Human LGR5-Hi / MEX3A-Hi signature,Human Lgr5-HI / Mex3a-Low signature,YAP direct targets
,AFAP1L1,,,,,,,KIF4A,,,,,,,,
,AGR3,,,,,,,KIFC1,,,,,,,,
,AQP4,,,,,,,KLHL23,,,,,,,,
,CD44,,,,,,,KNTC1,,,,,,,,
,CDCA7,,,,,,,LAMC1,,,,,,,,
,CDK6,,,,,,,LIG1,,,,,,,,
,CLCA4,,,,,,,LMNB1,,,,,,,,
,CNN3,,,,,,,LOC388559,,,,,,,,
,DACH1,,,,,,,LPHN1,,,,,,,,
,ENSMUST00000108472,,,,,,,LYAR,,,,,,,,
,FAM115C,,,,,,,LYSMD2,,,,,,,,
,FZD7,,,,,,,MARCKS,,,,,,,,
,GLRX,,,,,,,MASTL,,,,,,,,
,GRB7,,,,,,,MBD4,,,,,,,,
,KCNQ1,,,,,,,MCM2,,,,,,,,
,LCP1,,,,,,,MCM3,,,,,,,,
,MECOM,,,,,,,MCM4,,,,,,,,
,NAV1,,,,,,,MCM5,,,,,,,,
,OLFM4,,,,,,,MCM7,,,,,,,,
,PAICS,,,,,,,MCM8,,,,,,,,
,PICALM,,,,,,,MDN1,,,,,,,,
,42984,,,,,,,MELK,,,,,,,,
,SLC12A2,,,,,,,MIRHG1,,,,,,,,
,SMOC2,,,,,,,MLF1IP,,,,,,,,
,SOAT1,,,,,,,MORC4,,,,,,,,
,SORBS2,,,,,,,MPHOSPH9,,,,,,,,
,TNS3,,,,,,,MTBP,,,,,,,,
,VDR,,,,,,,MTHFD2,,,,,,,,
,,,,,,,,MYB,,,,,,,,
,,,,,,,,MYBL2,,,,,,,,
,,,,,,,,MYC,,,,,,,,
,,,,,,,,NAP1L1,,,,,,,,
,,,,,,,,NCAPD2,,,,,,,,
,,,,,,,,NCAPG,,,,,,,,
,,,,,,,,NCAPG2,,,,,,,,
,,,,,,,,NCAPH,,,,,,,,
,,,,,,,,NDE1,,,,,,,,
,,,,,,,,NEIL3,,,,,,,,
,,,,,,,,NEK2,,,,,,,,
,,,,,,,,NEUROG3,,,,,,,,
,,,,,,,,NEXN,,,,,,,,
,,,,,,,,NFATC2,,,,,,,,
,,,,,,,,NIN,,,,,,,,
,,,,,,,,NRM,,,,,,,,
,,,,,,,,NSL1,,,,,,,,
,,,,,,,,NUF2,,,,,,,,
,,,,,,,,NUP133,,,,,,,,
,,,,,,,,NUP210,,,,,,,,
,,,,,,,,NUP85,,,,,,,,
,,,,,,,,NUSAP1,,,,,,,,
,,,,,,,,PAICS,,,,,,,,
,,,,,,,,PALB2,,,,,,,,
,,,,,,,,PBK,,,,,,,,
,,,,,,,,PCK2,,,,,,,,
